timestamp,pixel,fps,pv,ra,stream,device,congestion
2023-10-08 11:33:27.041758,420,30,1.0,0.87,5,Laptop,1
2023-10-08 11:33:28.796878,420,30,1.0,0.87,5,Laptop,1
2023-10-08 11:33:30.344504,420,30,1.0,0.93,5,Laptop,1
2023-10-08 11:33:31.832882,420,30,1.0,0.93,5,Laptop,1
2023-10-08 11:33:33.479598,420,30,1.0,0.87,5,Laptop,1
2023-10-08 11:33:35.047966,420,30,1.0,0.9,5,Laptop,1
2023-10-08 11:33:38.149618,420,30,1.0,0.93,5,Laptop,1
2023-10-08 11:33:39.687766,420,30,1.0,0.87,5,Laptop,1
2023-10-08 11:33:41.359005,420,30,1.0,0.90,5,Laptop,1
2023-10-08 11:33:44.557224,420,30,1.0,0.93,5,Laptop,1
2023-10-08 11:33:47.523034,420,30,0.9,0.93,5,Laptop,1
2023-10-26 14:59:42.965967,420,18,0.94,0.5,5,Laptop,2
2023-10-26 14:59:44.530057,420,18,0.94,0.17,5,Laptop,2
2023-10-26 14:59:46.131082,420,18,1.0,0.28,5,Laptop,2
2023-10-26 14:59:47.744435,420,18,0.94,0.56,5,Laptop,2
2023-10-26 14:59:49.340056,420,18,1.0,0.17,5,Laptop,2
2023-10-26 14:59:51.069012,420,18,1.0,0.17,5,Laptop,2
2023-10-26 14:59:52.666261,420,18,0.94,0.22,5,Laptop,2
2023-10-26 14:59:54.132927,420,18,0.94,0.28,5,Laptop,2
2023-10-26 14:59:55.909529,420,18,0.94,0.28,5,Laptop,2
2023-10-26 14:59:57.457492,420,18,1.0,0.39,5,Laptop,2
2023-10-26 14:59:59.024335,420,18,1.0,0.39,5,Laptop,2
2023-10-26 15:00:00.870179,420,18,0.94,0.5,5,Laptop,2
2023-10-26 15:00:02.394067,420,18,1.0,0.45,5,Laptop,2
2023-10-26 15:00:04.104726,420,18,1.0,0.43,5,Laptop,2
2023-10-26 15:00:05.698385,420,18,1.0,0.56,5,Laptop,2
2023-10-26 15:00:08.961034,420,18,0.94,0.52,5,Laptop,2
2023-10-26 15:00:10.854653,420,18,1.0,0.47,5,Laptop,2
2023-10-26 15:00:12.710974,420,18,1.0,0.44,5,Laptop,2
2023-10-26 15:00:15.684815,420,18,1.0,0.42,5,Laptop,2
2023-10-26 15:00:17.262557,420,18,1.0,0.44,5,Laptop,2
2023-10-26 14:57:37.343349,420,18,1.0,0.67,2,Laptop,2
2023-10-26 14:57:38.551816,420,18,1.0,0.72,2,Laptop,2
2023-10-26 14:57:39.980772,420,18,1.0,0.67,2,Laptop,2
2023-10-26 14:57:41.414446,420,18,1.0,0.67,2,Laptop,2
2023-10-26 14:57:42.661932,420,18,1.0,0.72,2,Laptop,2
2023-10-26 14:57:43.997029,420,18,1.0,0.78,2,Laptop,2
2023-10-26 14:57:45.513191,420,18,1.0,0.78,2,Laptop,2
2023-10-26 14:57:46.847366,420,18,1.0,0.72,2,Laptop,2
2023-10-26 14:57:48.244534,420,18,1.0,0.72,2,Laptop,2
2023-10-26 14:57:49.602896,420,18,0.94,0.61,2,Laptop,2
2023-10-26 14:57:50.987452,420,18,1.0,0.67,2,Laptop,2
2023-10-26 14:57:52.258098,420,18,1.0,0.67,2,Laptop,2
2023-10-26 14:57:53.651462,420,18,1.0,0.72,2,Laptop,2
2023-10-26 14:57:55.006623,420,18,1.0,0.61,2,Laptop,2
2023-10-26 14:57:56.324551,420,18,1.0,0.67,2,Laptop,2
2023-10-26 14:57:57.700202,420,18,1.0,0.72,2,Laptop,2
2023-10-26 14:57:58.873579,420,18,1.0,0.78,2,Laptop,2
2023-10-26 14:58:00.357481,420,18,0.89,0.83,2,Laptop,2
2023-10-26 14:57:58.873579,420,18,1.0,0.78,2,Laptop,2
2023-10-26 14:57:55.006623,420,18,1.0,0.61,2,Laptop,2
