timestamp,pixel,fps,pv,ra,stream,device,GPU
2023-10-11 09:24:18.753464,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:24:20.604260,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:26:32.896976,180,22,0.95,0.0,1,Nano,0
2023-10-11 09:26:35.045915,180,22,0.69,0.0,1,Nano,0
2023-10-11 09:26:36.367345,420,14,0.93,0.71,1,Nano,0
2023-10-11 09:26:37.914952,420,14,1.0,0.93,1,Nano,0
2023-10-11 09:26:39.449116,420,14,1.0,0.93,1,Nano,0
2023-10-11 09:26:41.292572,420,14,0.79,0.86,1,Nano,0
2023-10-11 09:26:42.829237,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:26:44.364309,420,14,0.93,0.86,1,Nano,0
2023-10-11 09:26:45.695588,420,14,1.0,0.79,1,Nano,0
2023-10-11 09:26:47.231793,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:26:48.972232,420,14,0.79,0.86,1,Nano,0
2023-10-11 09:26:50.508356,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:26:52.353231,420,14,0.79,0.86,1,Nano,0
2023-10-11 09:26:53.895735,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:26:55.434038,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:26:57.060533,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:26:58.603820,420,14,1.0,0.93,1,Nano,0
2023-10-11 09:27:00.132090,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:01.912320,420,14,0.79,0.86,1,Nano,0
2023-10-11 09:27:03.512675,420,14,1.0,0.71,1,Nano,0
2023-10-11 09:27:05.150500,420,14,1.0,0.79,1,Nano,0
2023-10-11 09:27:06.686135,420,14,0.93,0.79,1,Nano,0
2023-10-11 09:27:08.531516,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:10.067640,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:11.602495,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:13.372126,420,14,0.93,0.86,1,Nano,0
2023-10-11 09:27:14.880873,420,14,1.0,0.79,1,Nano,0
2023-10-11 09:27:16.210935,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:17.745470,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:19.281415,420,14,1.0,0.93,1,Nano,0
2023-10-11 09:27:20.819589,420,14,1.0,0.93,1,Nano,0
2023-10-11 09:27:22.561238,420,14,0.67,0.93,1,Nano,0
2023-10-11 09:27:24.302072,420,14,1.0,0.79,1,Nano,0
2023-10-11 09:27:26.144003,420,14,1.0,0.79,1,Nano,0
2023-10-11 09:27:27.989133,420,14,1.0,0.79,1,Nano,0
2023-10-11 09:27:29.623749,420,14,1.0,0.71,1,Nano,0
2023-10-11 09:27:31.264448,420,14,1.0,0.79,1,Nano,0
2023-10-11 09:27:32.900809,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:34.541797,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:36.076900,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:37.715912,420,14,1.0,0.79,1,Nano,0
2023-10-11 09:27:39.352458,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:40.993681,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:42.631686,420,14,1.0,0.86,1,Nano,0
2023-10-11 09:27:44.577839,420,14,0.67,0.79,1,Nano,0
2023-10-11 09:27:46.368335,420,14,1.0,0.79,1,Nano,0
2023-10-11 09:27:48.262601,420,14,1.0,0.71,1,Nano,0
2023-10-11 09:27:50.106282,420,14,0.67,0.79,1,Nano,0
2023-10-11 09:27:51.845094,420,14,1.0,0.71,1,Nano,0
2023-10-11 09:27:53.490971,420,14,0.93,0.71,1,Nano,0
2023-10-11 09:27:55.235973,420,14,0.79,0.79,2,Nano,0
2023-10-11 09:27:57.070401,420,14,1.0,0.79,2,Nano,0
2023-10-11 09:27:59.425744,240,22,0.95,0.0,2,Nano,0
2023-10-11 09:28:01.780011,240,22,1.0,0.0,2,Nano,0
2023-10-11 09:28:05.160169,420,30,1.0,0.0,2,Nano,0
2023-10-11 09:28:08.536788,420,30,1.0,0.0,2,Nano,0
2023-10-11 09:28:09.870551,420,14,1.0,0.71,2,Nano,0
2023-10-11 09:28:11.714746,420,14,0.67,0.93,2,Nano,0
2023-10-11 09:28:13.454015,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:28:14.991894,420,14,0.67,0.93,2,Nano,0
2023-10-11 09:28:16.731425,420,14,0.67,0.93,2,Nano,0
2023-10-11 09:28:18.165178,420,14,0.86,0.86,2,Nano,0
2023-10-11 09:28:19.700436,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:28:21.348904,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:28:23.081463,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:28:24.924450,420,14,0.67,0.93,2,Nano,0
2023-10-11 09:28:26.368860,420,14,1.0,0.79,2,Nano,0
2023-10-11 09:28:28.099810,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:28:29.633801,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:28:31.477600,420,14,1.0,0.79,2,Nano,0
2023-10-11 09:28:33.321113,420,14,0.93,0.79,2,Nano,0
2023-10-11 09:28:35.164776,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:28:36.700979,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:28:38.235621,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:28:39.874994,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:28:41.615883,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:28:43.152247,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:28:44.892843,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:28:46.368776,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:28:47.888748,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:28:49.608909,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:28:51.143821,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:28:53.038014,420,14,0.67,0.93,2,Nano,0
2023-10-11 09:28:54.825427,420,14,0.86,0.86,2,Nano,0
2023-10-11 09:28:56.473000,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:28:58.513805,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:29:00.355098,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:29:01.787411,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:29:03.426565,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:29:05.065609,420,14,1.0,0.93,2,Nano,0
