timestamp,pixel,fps,pv,ra,stream,device,GPU
2023-10-07 22:27:27.306186,180,22,0.95,0.55,1,Xavier,0
2023-10-07 22:27:29.762533,180,22,0.87,0.82,1,Xavier,0
2023-10-07 22:27:32.324356,420,30,1.0,0.0,1,Xavier,0
2023-10-07 22:27:34.780701,240,22,0.95,0.55,1,Xavier,0
2023-10-07 22:27:36.727052,240,22,1.0,0.68,1,Xavier,0
2023-10-07 22:27:39.287173,360,22,0.95,0.73,1,Xavier,0
2023-10-07 22:27:41.232108,360,22,0.95,0.55,1,Xavier,0
2023-10-07 22:27:42.914666,420,14,1.0,0.86,1,Xavier,0
2023-10-07 22:27:45.020706,420,14,1.0,0.93,1,Xavier,0
2023-10-07 22:27:47.581185,240,30,1.0,0.07,1,Xavier,0
2023-10-07 22:27:50.140749,240,30,1.0,0.0,1,Xavier,0
2023-10-07 22:27:52.190452,420,18,0.94,0.72,1,Xavier,0
2023-10-07 22:27:53.827163,420,18,1.0,0.67,1,Xavier,0
2023-10-07 22:27:55.977992,420,22,1.0,0.82,1,Xavier,0
2023-10-07 22:27:57.971180,420,22,1.0,0.86,1,Xavier,0
2023-10-07 22:28:10.315771,180,26,0.27,0.88,1,Xavier,0
2023-10-07 22:28:11.142505,180,26,0.85,0.0,1,Xavier,0
2023-10-07 22:28:12.669287,180,26,0.88,0.38,1,Xavier,0
2023-10-07 22:28:14.819677,300,18,1.0,0.83,1,Xavier,0
2023-10-07 22:28:16.458611,300,18,0.94,0.56,1,Xavier,0
2023-10-07 22:28:18.506823,420,26,1.0,0.58,1,Xavier,0
2023-10-07 22:28:20.594265,420,26,1.0,0.73,1,Xavier,0
2023-10-07 22:28:22.704981,420,26,1.0,0.58,1,Xavier,0
2023-10-07 22:28:24.857596,420,26,0.92,0.73,1,Xavier,0
2023-10-07 22:28:27.417020,420,26,1.0,0.46,1,Xavier,0
2023-10-07 22:28:29.873911,420,26,0.92,0.38,1,Xavier,0
2023-10-07 22:28:31.307631,300,14,1.0,0.71,1,Xavier,0
2023-10-07 22:28:32.740319,240,14,1.0,0.79,1,Xavier,0
2023-10-07 22:28:34.378787,240,14,1.0,0.86,1,Xavier,0
2023-10-07 22:28:36.528740,180,14,1.0,0.93,1,Xavier,0
2023-10-07 22:28:37.970972,180,14,1.0,0.71,1,Xavier,0
2023-10-07 22:28:39.907320,300,14,0.73,0.86,1,Xavier,0
2023-10-07 22:28:41.751506,300,14,0.93,0.86,1,Xavier,0
2023-10-07 22:28:43.492048,300,14,1.0,0.79,1,Xavier,0
2023-10-07 22:28:45.130530,300,14,1.0,0.71,1,Xavier,0
2023-10-07 22:28:46.871545,300,14,1.0,0.79,1,Xavier,0
2023-10-07 22:28:48.511498,300,14,1.0,0.71,1,Xavier,0
2023-10-07 22:28:50.250086,300,14,1.0,0.93,1,Xavier,0
2023-10-07 22:28:52.196737,300,14,1.0,0.93,1,Xavier,0
2023-10-07 22:28:53.835702,300,14,0.79,0.64,1,Xavier,0
2023-10-07 22:28:55.575982,300,14,1.0,0.79,1,Xavier,0
2023-10-07 22:28:58.341861,360,30,1.0,0.13,1,Xavier,0
2023-10-07 22:29:00.388092,420,22,0.95,0.55,1,Xavier,0
2023-10-07 22:29:02.641378,420,22,1.0,0.68,1,Xavier,0
2023-10-07 22:29:04.791661,420,22,1.0,0.68,1,Xavier,0
2023-10-07 22:29:07.250076,420,22,1.0,0.5,1,Xavier,0
2023-10-07 22:29:08.990466,420,22,1.0,0.77,1,Xavier,0
2023-10-07 22:29:11.140716,420,22,1.0,0.64,1,Xavier,0
2023-10-07 22:29:13.086664,420,22,1.0,0.68,1,Xavier,0
2023-10-07 22:29:15.237039,420,22,1.0,0.86,1,Xavier,0
2023-10-07 22:29:17.489237,420,22,0.95,0.73,1,Xavier,0
2023-10-07 22:29:19.948066,420,22,1.0,0.68,1,Xavier,0
2023-10-07 22:29:21.892930,420,22,0.95,0.68,1,Xavier,0
2023-10-07 22:29:23.941746,420,22,0.95,0.73,1,Xavier,0
2023-10-07 22:29:26.398341,420,22,0.95,0.59,1,Xavier,0
2023-10-07 22:29:28.548772,420,22,1.0,0.55,1,Xavier,0
2023-10-07 22:29:30.699617,420,22,1.0,0.64,1,Xavier,0
2023-10-07 22:29:32.644280,420,22,0.95,0.82,1,Xavier,0
2023-10-07 22:29:34.589633,420,22,1.0,0.73,1,Xavier,0
2023-10-07 22:29:36.434038,420,22,1.0,0.68,1,Xavier,0
2023-10-07 22:29:38.482006,420,22,1.0,0.73,1,Xavier,0
2023-10-07 22:29:41.145154,420,22,0.95,0.64,1,Xavier,0
2023-10-07 22:29:43.140998,420,22,1.0,0.55,1,Xavier,0
2023-10-07 22:29:45.035740,420,22,1.0,0.77,1,Xavier,0
2023-10-07 22:29:47.493528,420,22,0.95,0.68,1,Xavier,0
2023-10-07 22:29:49.337199,420,22,1.0,0.64,1,Xavier,0
2023-10-07 22:29:51.590312,420,22,1.0,0.91,1,Xavier,0
2023-10-07 22:29:53.432942,420,22,1.0,0.77,1,Xavier,0
2023-10-07 22:29:55.685147,420,22,1.0,0.68,1,Xavier,0
2023-10-07 22:29:57.732757,420,22,1.0,0.86,1,Xavier,0
2023-10-07 22:30:00.191172,420,22,0.95,0.77,1,Xavier,0
2023-10-07 22:30:02.444848,420,22,1.0,0.55,1,Xavier,0
2023-10-07 22:30:04.082673,420,22,1.0,0.73,1,Xavier,0
2023-10-07 22:30:06.542818,420,22,0.95,0.73,1,Xavier,0
2023-10-07 22:30:08.383680,420,22,1.0,0.68,1,Xavier,0
2023-10-07 22:30:10.431045,420,22,1.0,0.77,1,Xavier,0
2023-10-07 22:30:12.377264,420,22,1.0,0.73,1,Xavier,0
2023-10-07 22:30:14.732727,420,22,0.95,0.59,1,Xavier,0
2023-10-07 22:30:17.189921,420,22,1.0,0.55,1,Xavier,0
2023-10-07 22:30:19.032554,420,22,1.0,0.68,1,Xavier,0
2023-10-07 22:30:20.979018,420,22,1.0,0.77,1,Xavier,0
2023-10-07 22:30:23.055702,420,22,0.95,0.64,1,Xavier,0
2023-10-07 22:30:25.586032,420,22,0.95,0.55,1,Xavier,0
2023-10-07 22:30:27.737056,420,22,1.0,0.64,1,Xavier,0
2023-10-07 22:30:30.194173,420,22,1.0,0.64,1,Xavier,0
2023-10-07 22:30:32.447951,420,22,1.0,0.41,1,Xavier,0
2023-10-07 22:30:34.085987,420,22,1.0,0.64,1,Xavier,0
2023-10-07 22:30:36.443194,420,22,1.0,0.73,1,Xavier,0
2023-10-07 22:30:38.489029,420,22,1.0,0.59,1,Xavier,0
2023-10-07 22:30:40.742194,420,22,0.95,0.68,1,Xavier,0
2023-10-07 22:30:42.687800,420,22,1.0,0.77,1,Xavier,0
2023-10-07 22:30:44.633148,420,22,1.0,0.77,1,Xavier,0
2023-10-07 22:30:46.886119,420,22,0.95,0.68,1,Xavier,0
2023-10-07 22:30:49.241809,420,22,0.95,0.59,1,Xavier,0
2023-10-07 22:30:51.392926,420,22,1.0,0.68,1,Xavier,0
2023-10-07 22:30:53.337249,420,22,1.0,0.73,1,Xavier,0
2023-10-07 22:30:55.181043,420,22,1.0,0.73,1,Xavier,0
2023-10-07 22:30:57.639005,420,22,1.0,0.68,1,Xavier,0
2023-10-07 22:30:59.481975,420,22,1.0,0.73,1,Xavier,0
2023-10-07 22:31:01.939580,420,22,1.0,0.64,1,Xavier,0
2023-10-07 22:31:03.989186,420,22,1.0,0.73,2,Xavier,0
2023-10-07 22:31:06.855269,420,22,0.95,0.45,2,Xavier,0
2023-10-07 22:31:08.799365,420,14,1.0,0.86,2,Xavier,0
2023-10-07 22:31:11.666505,420,22,1.0,0.36,2,Xavier,0
2023-10-07 22:31:14.329566,420,22,1.0,0.09,2,Xavier,0
2023-10-07 22:31:16.991615,420,22,1.0,0.23,2,Xavier,0
2023-10-07 22:31:19.641209,420,22,1.0,0.09,2,Xavier,0
2023-10-07 22:31:22.010148,420,22,1.0,0.36,2,Xavier,0
2023-10-07 22:31:24.878542,420,22,1.0,0.23,2,Xavier,0
2023-10-07 22:31:27.847195,420,22,0.95,0.09,2,Xavier,0
2023-10-07 22:31:30.305244,420,22,1.0,0.32,2,Xavier,0
2023-10-07 22:31:33.275626,420,22,0.95,0.36,2,Xavier,0
2023-10-07 22:31:37.581165,420,22,1.0,0.05,2,Xavier,0
2023-10-07 22:31:41.585365,420,22,1.0,0.0,2,Xavier,0
2023-10-07 22:31:45.974812,420,22,0.95,0.05,2,Xavier,0
2023-10-07 22:31:49.560383,420,22,1.0,0.09,2,Xavier,0
2023-10-07 22:31:53.550489,420,22,1.0,0.0,2,Xavier,0
2023-10-07 22:31:56.932062,420,22,0.95,0.18,2,Xavier,0
2023-10-07 22:31:59.899027,420,22,1.0,0.45,2,Xavier,0
2023-10-07 22:32:02.253558,420,14,1.0,0.71,2,Xavier,0
2023-10-07 22:32:04.507163,420,14,0.86,0.64,2,Xavier,0
2023-10-07 22:32:06.656631,420,14,0.86,0.71,2,Xavier,0
2023-10-07 22:32:08.602339,420,14,1.0,0.71,2,Xavier,0
2023-10-07 22:32:11.162337,420,14,0.86,0.79,2,Xavier,0
2023-10-07 22:32:12.904304,420,14,1.0,0.79,2,Xavier,0
2023-10-07 22:32:14.952236,420,14,1.0,0.86,2,Xavier,0
2023-10-07 22:32:16.999520,420,14,1.0,0.79,2,Xavier,0
2023-10-07 22:32:18.741181,420,14,1.0,0.79,2,Xavier,0
2023-10-07 22:32:21.299314,420,14,1.0,0.79,2,Xavier,0
2023-10-07 22:32:22.996693,420,14,1.0,0.79,2,Xavier,0
2023-10-07 22:32:25.089736,420,14,1.0,0.86,2,Xavier,0
2023-10-07 22:32:27.240257,420,14,1.0,0.71,2,Xavier,0
2023-10-07 22:32:29.083015,420,14,0.93,0.79,2,Xavier,0
2023-10-07 22:32:31.438743,420,14,1.0,0.79,2,Xavier,0
2023-10-07 22:32:33.588486,420,14,0.86,0.79,2,Xavier,0
2023-10-07 22:32:35.636907,420,14,1.0,0.79,2,Xavier,0
2023-10-07 22:32:37.786695,420,14,0.86,0.79,2,Xavier,0
2023-10-07 22:32:39.737845,420,14,1.0,0.71,2,Xavier,0
2023-10-07 22:32:41.678291,420,14,1.0,0.86,2,Xavier,0
