execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,stream_count
31,2023-10-04 10:45:37.128850,50.4,73.3,360,22,True,13.0,22,1
29,2023-10-04 10:45:37.173149,61.1,73.3,360,22,True,7.0,23,1
29,2023-10-04 10:45:37.218445,62.5,73.4,360,22,True,6.0,23,1
29,2023-10-04 10:45:37.264568,61.3,73.4,360,22,True,12.0,23,1
32,2023-10-04 10:45:37.314553,62.0,73.5,360,22,True,11.0,23,1
29,2023-10-04 10:45:37.356834,63.4,73.5,360,22,True,16.0,23,1
29,2023-10-04 10:45:37.403567,62.7,73.6,360,22,True,9.0,23,1
27,2023-10-04 10:45:37.446548,56.7,73.6,360,22,True,11.0,22,1
28,2023-10-04 10:45:37.494283,59.2,73.7,360,22,True,20.0,22,1
28,2023-10-04 10:45:37.540234,59.2,73.7,360,22,True,10.0,22,1
24,2023-10-04 10:45:37.581561,58.7,73.7,360,22,True,13.0,22,1
28,2023-10-04 10:45:37.631924,64.6,73.8,360,22,True,22.0,23,1
43,2023-10-04 10:45:37.692713,69.9,73.9,360,22,True,10.0,23,1
25,2023-10-04 10:45:37.721939,83.0,73.9,360,22,True,10.0,24,1
54,2023-10-04 10:45:37.807430,99.3,74.2,360,22,True,21.0,25,1
39,2023-10-04 10:45:37.852064,91.3,74.3,360,22,True,13.0,25,1
71,2023-10-04 10:45:37.930895,95.2,74.3,360,22,True,22.0,25,1
43,2023-10-04 10:45:37.979655,94.7,74.3,360,22,True,13.0,25,1
50,2023-10-04 10:45:38.034782,97.7,74.4,360,22,True,11.0,25,1
61,2023-10-04 10:45:38.104220,100.0,74.4,360,22,True,25.0,25,1
75,2023-10-04 10:45:38.184940,96.9,74.5,360,22,True,9.0,25,1
52,2023-10-04 10:45:38.249355,91.1,74.5,360,22,True,11.0,25,1
133,2023-10-04 10:45:38.708767,69.6,75.5,360,22,True,18.0,23,1
319,2023-10-04 10:45:39.095587,62.0,74.8,360,22,True,32.0,23,1
85,2023-10-04 10:45:39.205373,92.3,75.2,360,22,True,57.0,25,1
24,2023-10-04 10:45:39.265404,98.9,75.4,360,22,True,18.0,25,1
23,2023-10-04 10:45:39.309108,98.4,75.5,360,22,True,28.0,25,1
35,2023-10-04 10:45:39.376026,100.0,75.7,360,22,True,45.0,25,1
97,2023-10-04 10:45:39.494542,100.0,76.0,360,22,True,27.0,25,1
86,2023-10-04 10:45:39.638649,99.5,76.6,360,22,True,28.0,25,1
74,2023-10-04 10:45:39.806827,99.6,77.4,360,22,True,31.0,25,1
96,2023-10-04 10:45:39.933230,88.9,76.0,360,22,True,3.0,25,1
162,2023-10-04 10:45:40.227677,81.1,75.8,360,22,True,8.0,24,1
136,2023-10-04 10:45:40.391065,82.5,75.8,360,22,True,9.0,24,1
86,2023-10-04 10:45:40.563519,100.0,75.8,360,22,True,11.0,25,1
107,2023-10-04 10:45:40.692938,97.6,75.8,360,22,True,12.0,25,1
154,2023-10-04 10:45:40.876737,75.5,76.0,360,22,True,8.0,24,1
52,2023-10-04 10:45:41.054082,38.7,76.2,360,22,True,5.0,21,1
130,2023-10-04 10:45:41.250103,66.4,76.2,360,22,True,21.0,23,1
67,2023-10-04 10:45:41.401059,65.1,76.2,360,22,True,8.0,23,1
107,2023-10-04 10:45:41.561198,55.4,76.3,360,22,True,10.0,22,1
122,2023-10-04 10:45:41.759239,77.0,76.3,360,22,True,15.0,24,1
75,2023-10-04 10:45:41.866462,97.4,76.3,360,22,True,4.0,25,1
106,2023-10-04 10:45:41.995235,98.6,76.3,360,22,True,13.0,25,1
85,2023-10-04 10:45:42.380175,77.3,76.3,360,22,True,13.0,24,1
37,2023-10-04 10:45:42.422297,69.6,76.2,360,22,True,7.0,23,1
88,2023-10-04 10:45:42.544091,62.4,76.2,360,22,True,6.0,23,1
81,2023-10-04 10:45:42.696409,64.7,76.3,360,22,True,12.0,23,1
78,2023-10-04 10:45:42.832582,62.3,76.3,360,22,True,11.0,23,1
