execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,stream_count
24,2023-10-08 11:24:13.805786,20.6,53.9,180,22,False,32.0,20,1
11,2023-10-08 11:24:13.838510,52.9,53.9,180,22,True,392.0,22,1
12,2023-10-08 11:24:13.885430,51.3,53.9,180,22,True,5.0,22,1
11,2023-10-08 11:24:13.930678,45.1,53.9,180,22,False,5.0,21,1
11,2023-10-08 11:24:13.977035,50.0,54.0,180,22,True,23.0,22,1
12,2023-10-08 11:24:14.024009,47.3,54.0,180,22,True,17.0,22,1
12,2023-10-08 11:24:14.069892,45.8,54.0,180,22,True,8.0,21,1
12,2023-10-08 11:24:14.115440,47.3,54.0,180,22,True,10.0,22,1
11,2023-10-08 11:24:14.161812,45.1,54.0,180,22,True,21.0,21,1
11,2023-10-08 11:24:14.207841,48.7,54.0,180,22,True,10.0,22,1
11,2023-10-08 11:24:14.253531,47.1,54.0,180,22,True,12.0,22,1
10,2023-10-08 11:24:14.298907,48.0,54.0,180,22,True,21.0,22,1
10,2023-10-08 11:24:14.345106,45.8,54.0,180,22,True,12.0,21,1
10,2023-10-08 11:24:14.391820,46.1,54.0,180,22,True,9.0,21,1
10,2023-10-08 11:24:14.437198,45.7,54.0,180,22,True,21.0,21,1
10,2023-10-08 11:24:14.483566,47.3,54.0,180,22,True,11.0,22,1
10,2023-10-08 11:24:14.529337,45.8,54.0,180,22,True,23.0,21,1
10,2023-10-08 11:24:14.575511,48.0,54.0,180,22,True,16.0,22,1
11,2023-10-08 11:24:14.622296,46.6,54.0,180,22,True,10.0,22,1
11,2023-10-08 11:24:14.668003,49.3,54.0,180,22,True,25.0,22,1
10,2023-10-08 11:24:14.713382,45.1,54.0,180,22,True,12.0,21,1
10,2023-10-08 11:24:14.759949,46.7,54.0,180,22,True,10.0,22,1
11,2023-10-08 11:24:14.829093,60.8,54.0,180,22,True,26.0,23,1
10,2023-10-08 11:24:14.874514,45.1,54.0,180,22,True,9.0,21,1
10,2023-10-08 11:24:14.920731,47.4,54.0,180,22,True,28.0,22,1
20,2023-10-08 11:24:14.976389,38.0,54.0,180,22,False,28.0,21,1
8,2023-10-08 11:24:15.079455,43.7,54.0,180,22,False,28.0,21,1
10,2023-10-08 11:24:15.127451,52.6,54.0,180,22,False,28.0,22,1
11,2023-10-08 11:24:15.174859,52.6,54.0,180,22,False,28.0,22,1
10,2023-10-08 11:24:15.220082,45.7,54.0,180,22,True,73.0,21,1
10,2023-10-08 11:24:15.266561,45.2,54.0,180,22,True,28.0,21,1
10,2023-10-08 11:24:15.312356,48.0,54.0,180,22,False,28.0,22,1
10,2023-10-08 11:24:15.358951,46.7,54.0,180,22,True,37.0,22,1
12,2023-10-08 11:24:15.406877,50.0,54.0,180,22,True,31.0,22,1
10,2023-10-08 11:24:15.451415,53.5,54.0,180,22,True,12.0,22,1
11,2023-10-08 11:24:15.498056,56.2,54.1,180,22,True,34.0,22,1
10,2023-10-08 11:24:15.542777,51.4,54.1,180,22,False,34.0,22,1
11,2023-10-08 11:24:15.589983,44.6,54.1,180,22,True,34.0,21,1
10,2023-10-08 11:24:15.635509,47.9,54.1,180,22,True,25.0,22,1
10,2023-10-08 11:24:15.681764,45.2,54.1,180,22,True,12.0,21,1
11,2023-10-08 11:24:15.728694,48.0,54.1,180,22,True,14.0,22,1
13,2023-10-08 11:24:15.801643,70.4,54.1,180,22,True,23.0,23,1
10,2023-10-08 11:24:15.845115,73.6,54.1,180,22,True,17.0,23,1
10,2023-10-08 11:24:15.891603,48.7,54.1,180,22,True,14.0,22,1
12,2023-10-08 11:24:15.977019,49.3,54.1,420,30,True,9.0,22,1
12,2023-10-08 11:24:16.011656,55.0,54.0,420,30,True,12.0,22,1
11,2023-10-08 11:24:16.044876,52.9,54.0,420,30,True,12.0,22,1
13,2023-10-08 11:24:16.081466,50.3,54.0,420,30,True,12.0,22,1
50,2023-10-08 11:24:16.206684,52.3,54.0,420,30,True,11.0,22,1
29,2023-10-08 11:24:16.241015,53.9,54.0,420,30,True,13.0,22,1
14,2023-10-08 11:24:16.286731,58.1,54.0,420,30,True,11.0,22,1
12,2023-10-08 11:24:16.318519,56.6,54.0,420,30,True,10.0,22,1
11,2023-10-08 11:24:16.351303,56.4,54.0,420,30,True,11.0,22,1
11,2023-10-08 11:24:16.385969,51.9,54.0,420,30,True,10.0,22,1
11,2023-10-08 11:24:16.419330,50.9,54.0,420,30,True,11.0,22,1
11,2023-10-08 11:24:16.454050,50.9,54.0,420,30,True,14.0,22,1
11,2023-10-08 11:24:16.486970,51.8,54.0,420,30,True,11.0,22,1
12,2023-10-08 11:24:16.522520,48.2,54.0,420,30,True,12.0,22,1
11,2023-10-08 11:24:16.555662,50.0,54.0,420,30,True,9.0,22,1
11,2023-10-08 11:24:16.590052,47.2,54.0,420,30,True,11.0,22,1
11,2023-10-08 11:24:16.623948,50.0,54.0,420,30,True,12.0,22,1
11,2023-10-08 11:24:16.657771,50.0,54.0,420,30,True,9.0,22,1
11,2023-10-08 11:24:16.691643,52.7,54.0,420,30,True,10.0,22,1
10,2023-10-08 11:24:16.725236,49.1,54.0,420,30,True,9.0,22,1
11,2023-10-08 11:24:16.759046,49.1,54.0,420,30,True,7.0,22,1
11,2023-10-08 11:24:16.792812,47.2,54.0,420,30,True,7.0,22,1
10,2023-10-08 11:24:16.826080,47.1,54.0,420,30,True,9.0,22,1
11,2023-10-08 11:24:16.860733,50.0,54.0,420,30,True,7.0,22,1
11,2023-10-08 11:24:16.894662,48.1,54.0,420,30,True,4.0,22,1
10,2023-10-08 11:24:16.928216,47.2,54.0,420,30,True,4.0,22,1
11,2023-10-08 11:24:16.961882,51.9,54.0,420,30,True,2.0,22,1
11,2023-10-08 11:24:16.995499,50.0,54.0,420,30,True,4.0,22,1
11,2023-10-08 11:24:17.028961,45.3,54.0,420,30,True,12.0,21,1
10,2023-10-08 11:24:17.062639,45.1,54.0,420,30,True,15.0,21,1
7,2023-10-08 11:24:17.147878,58.8,54.0,420,30,True,10.0,22,1
11,2023-10-08 11:24:17.185922,49.2,54.0,420,30,True,12.0,22,1
11,2023-10-08 11:24:17.220540,48.2,54.0,420,30,True,7.0,22,1
11,2023-10-08 11:24:17.253681,48.1,54.0,420,30,True,9.0,22,1
127,2023-10-08 11:24:17.403532,35.3,54.0,420,30,True,12.0,21,1
46,2023-10-08 11:24:17.452380,45.1,54.0,420,30,True,9.0,21,1
14,2023-10-08 11:24:17.511985,38.0,54.0,420,30,True,10.0,21,1
10,2023-10-08 11:24:17.524011,63.2,54.0,420,30,True,13.0,23,1
11,2023-10-08 11:24:17.558481,52.9,54.0,420,30,True,9.0,22,1
13,2023-10-08 11:24:17.594016,56.1,54.0,420,30,True,11.0,22,1
11,2023-10-08 11:24:17.625714,55.6,54.0,420,30,True,11.0,22,1
11,2023-10-08 11:24:17.659586,50.0,54.0,420,30,True,9.0,22,1
11,2023-10-08 11:24:17.694137,49.1,54.0,420,30,True,14.0,22,1
13,2023-10-08 11:24:17.729207,49.1,54.0,420,30,True,9.0,22,1
13,2023-10-08 11:24:17.763280,50.0,54.0,420,30,True,14.0,22,1
11,2023-10-08 11:24:17.795063,49.0,54.0,420,30,True,11.0,22,1
11,2023-10-08 11:24:17.829217,48.1,54.0,420,30,True,10.0,22,1
11,2023-10-08 11:24:17.862827,50.0,54.0,420,30,True,10.0,22,1
11,2023-10-08 11:24:17.896659,48.1,54.0,420,30,True,11.0,22,1
11,2023-10-08 11:24:17.930370,45.1,54.0,420,30,True,11.0,21,1
11,2023-10-08 11:24:17.963894,52.7,54.0,420,30,True,7.0,22,1
11,2023-10-08 11:24:17.997499,49.1,54.0,420,30,True,10.0,22,1
11,2023-10-08 11:24:18.031179,48.1,54.0,420,30,True,11.0,22,1
10,2023-10-08 11:24:18.064911,49.1,54.0,420,30,True,11.0,22,1
11,2023-10-08 11:24:18.098482,45.3,54.0,420,30,True,9.0,21,1
11,2023-10-08 11:24:18.132727,48.1,54.0,420,30,True,11.0,22,1
11,2023-10-08 11:24:18.166879,48.2,54.0,420,30,True,8.0,22,1
11,2023-10-08 11:24:18.200887,46.2,54.0,420,30,True,11.0,21,1
11,2023-10-08 11:24:18.234973,50.0,54.0,420,30,True,11.0,22,1
11,2023-10-08 11:24:18.269106,45.3,54.0,420,30,True,9.0,21,1
67,2023-10-08 11:24:18.430105,43.1,54.0,420,14,True,17.0,21,1
46,2023-10-08 11:24:18.480785,53.8,54.0,420,14,True,19.0,22,1
34,2023-10-08 11:24:18.544093,43.6,54.0,420,14,True,21.0,21,1
12,2023-10-08 11:24:18.593868,52.6,54.0,420,14,True,17.0,22,1
8,2023-10-08 11:24:18.662028,50.5,54.0,420,14,True,20.0,22,1
13,2023-10-08 11:24:18.739049,43.9,54.0,420,14,True,15.0,21,1
11,2023-10-08 11:24:18.809190,45.5,54.0,420,14,True,17.0,21,1
11,2023-10-08 11:24:18.881317,43.9,54.0,420,14,True,18.0,21,1
7,2023-10-08 11:24:18.949790,43.9,54.0,420,14,True,19.0,21,1
9,2023-10-08 11:24:19.023717,50.4,54.1,420,14,True,19.0,22,1
7,2023-10-08 11:24:19.094046,46.3,54.1,420,14,True,16.0,22,1
10,2023-10-08 11:24:19.169334,47.2,54.1,420,14,True,24.0,22,1
34,2023-10-08 11:24:19.265379,45.7,54.1,420,14,True,15.0,21,1
11,2023-10-08 11:24:19.315055,51.2,54.1,420,14,True,10.0,22,1
12,2023-10-08 11:24:19.460033,39.2,54.1,420,14,True,20.0,21,1
21,2023-10-08 11:24:19.540881,44.5,54.1,420,14,True,21.0,21,1
37,2023-10-08 11:24:19.638294,42.5,54.1,420,14,True,19.0,21,1
11,2023-10-08 11:24:19.684901,53.3,54.1,420,14,True,23.0,22,1
7,2023-10-08 11:24:19.752394,54.1,54.1,420,14,True,22.0,22,1
7,2023-10-08 11:24:19.825094,41.1,54.1,420,14,True,31.0,21,1
8,2023-10-08 11:24:19.897703,44.8,54.1,420,14,True,20.0,21,1
13,2023-10-08 11:24:19.973690,43.7,54.1,420,14,True,24.0,21,1
9,2023-10-08 11:24:20.041915,48.6,54.1,420,14,True,21.0,22,1
7,2023-10-08 11:24:20.112200,43.8,54.1,420,14,True,22.0,21,1
20,2023-10-08 11:24:20.197031,43.3,54.1,420,14,True,17.0,21,1
11,2023-10-08 11:24:20.260121,49.0,54.1,420,14,True,16.0,22,1
7,2023-10-08 11:24:20.328271,46.3,54.1,420,14,True,21.0,22,1
10,2023-10-08 11:24:20.403539,45.5,54.1,420,14,True,7.0,21,1
7,2023-10-08 11:24:20.491870,27.8,54.1,240,22,True,14.0,20,1
11,2023-10-08 11:24:20.541531,46.2,54.1,240,22,True,8.0,21,1
11,2023-10-08 11:24:20.587879,47.3,54.1,240,22,True,18.0,22,1
10,2023-10-08 11:24:20.633297,47.9,54.1,240,22,True,5.0,22,1
20,2023-10-08 11:24:20.705024,51.6,54.1,240,22,True,8.0,22,1
31,2023-10-08 11:24:20.764158,52.5,54.1,240,22,True,16.0,22,1
11,2023-10-08 11:24:20.806842,62.1,54.1,240,22,True,6.0,23,1
11,2023-10-08 11:24:20.852868,51.4,54.1,240,22,True,5.0,22,1
10,2023-10-08 11:24:20.898388,52.2,54.1,240,22,True,17.0,22,1
12,2023-10-08 11:24:20.946424,52.6,54.1,240,22,True,6.0,22,1
11,2023-10-08 11:24:20.991213,50.0,54.1,240,22,True,12.0,22,1
12,2023-10-08 11:24:21.037909,58.3,54.2,240,22,True,6.0,22,1
11,2023-10-08 11:24:21.082956,52.8,54.3,240,22,True,6.0,22,1
11,2023-10-08 11:24:21.129538,47.2,54.3,240,22,True,6.0,22,1
11,2023-10-08 11:24:21.175402,48.0,54.3,240,22,True,2.0,22,1
11,2023-10-08 11:24:21.221334,47.2,54.3,240,22,True,5.0,22,1
11,2023-10-08 11:24:21.267303,49.3,54.4,240,22,True,17.0,22,1
11,2023-10-08 11:24:21.313723,48.6,54.4,240,22,True,18.0,22,1
12,2023-10-08 11:24:21.360387,59.5,54.1,240,22,True,13.0,22,1
11,2023-10-08 11:24:21.406683,64.4,54.1,240,22,True,49.0,23,1
11,2023-10-08 11:24:21.452014,58.1,54.1,240,22,True,28.0,22,1
11,2023-10-08 11:24:21.498099,48.6,54.1,240,22,True,60.0,22,1
12,2023-10-08 11:24:21.565297,68.0,54.1,240,22,True,18.0,23,1
60,2023-10-08 11:24:21.658904,53.1,54.1,240,22,True,31.0,22,1
69,2023-10-08 11:24:21.736920,94.0,54.2,240,22,True,54.0,25,1
35,2023-10-08 11:24:21.800493,98.9,54.2,240,22,True,22.0,25,1
66,2023-10-08 11:24:21.882795,88.4,54.2,240,22,True,24.0,24,1
13,2023-10-08 11:24:21.907668,89.5,54.2,240,22,True,49.0,25,1
14,2023-10-08 11:24:21.950583,92.1,54.2,240,22,True,30.0,25,1
12,2023-10-08 11:24:21.991313,79.4,54.2,240,22,True,26.0,24,1
12,2023-10-08 11:24:22.037124,68.9,54.2,240,22,True,28.0,23,1
12,2023-10-08 11:24:22.082883,70.3,54.2,240,22,True,6.0,23,1
11,2023-10-08 11:24:22.128250,60.6,54.1,240,22,True,6.0,23,1
11,2023-10-08 11:24:22.174793,65.4,54.1,240,22,True,9.0,23,1
11,2023-10-08 11:24:22.220920,75.4,54.1,240,22,True,11.0,24,1
11,2023-10-08 11:24:22.267480,70.7,54.1,240,22,True,11.0,23,1
11,2023-10-08 11:24:22.313613,69.9,54.1,240,22,True,7.0,23,1
11,2023-10-08 11:24:22.359417,58.7,54.0,240,22,True,8.0,22,1
11,2023-10-08 11:24:22.405328,52.7,54.1,240,22,True,20.0,22,1
11,2023-10-08 11:24:22.451138,51.4,54.1,240,22,True,7.0,22,1
10,2023-10-08 11:24:22.496748,47.9,54.0,240,22,True,11.0,22,1
10,2023-10-08 11:24:22.543193,52.6,54.0,240,22,True,12.0,22,1
11,2023-10-08 11:24:22.589497,47.2,54.0,240,22,True,6.0,22,1
11,2023-10-08 11:24:22.635391,50.0,54.1,240,22,True,13.0,22,1
82,2023-10-08 11:24:22.816293,36.6,54.2,300,26,True,9.0,21,1
16,2023-10-08 11:24:22.838699,52.5,54.2,300,26,True,9.0,22,1
16,2023-10-08 11:24:22.898504,55.0,54.2,300,26,True,10.0,22,1
11,2023-10-08 11:24:22.932828,55.4,54.2,300,26,True,17.0,22,1
11,2023-10-08 11:24:22.971794,54.0,54.2,300,26,True,9.0,22,1
11,2023-10-08 11:24:23.010273,51.7,54.2,300,26,True,8.0,22,1
