execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,stream_count
75,2023-10-11 18:07:00.625260,31.7,54.5,180,22,True,11.0,4,1
57,2023-10-11 18:07:00.686101,58.3,54.7,180,22,True,14.0,6,1
53,2023-10-11 18:07:00.741759,47.6,54.7,180,22,True,20.0,5,1
54,2023-10-11 18:07:00.798225,54.2,54.7,180,22,True,14.0,5,1
53,2023-10-11 18:07:00.853785,52.4,54.7,180,22,True,14.0,5,1
53,2023-10-11 18:07:00.910208,50.0,54.7,180,22,True,20.0,5,1
51,2023-10-11 18:07:00.964520,47.6,54.7,180,22,False,20.0,5,1
53,2023-10-11 18:07:01.020558,50.0,54.7,180,22,True,15.0,5,1
52,2023-10-11 18:07:01.076128,54.5,54.7,180,22,False,15.0,5,1
52,2023-10-11 18:07:01.130724,54.2,54.7,180,22,False,15.0,5,1
53,2023-10-11 18:07:01.186755,50.0,54.7,180,22,True,26.0,5,1
53,2023-10-11 18:07:01.243014,50.0,54.7,180,22,True,12.0,5,1
53,2023-10-11 18:07:01.299147,50.0,54.7,180,22,True,3.0,5,1
53,2023-10-11 18:07:01.355258,52.2,54.7,180,22,True,7.0,5,1
54,2023-10-11 18:07:01.412213,52.2,54.7,180,22,True,7.0,5,1
53,2023-10-11 18:07:01.468660,50.0,54.7,180,22,True,7.0,5,1
53,2023-10-11 18:07:01.524922,56.0,54.7,180,22,True,6.0,5,1
53,2023-10-11 18:07:01.580646,50.0,54.7,180,22,True,4.0,5,1
53,2023-10-11 18:07:01.636607,47.6,54.7,180,22,True,4.0,5,1
53,2023-10-11 18:07:01.692795,60.0,54.7,180,22,True,4.0,6,1
53,2023-10-11 18:07:01.748324,50.0,54.7,180,22,True,4.0,5,1
53,2023-10-11 18:07:01.804565,50.0,54.7,180,22,True,4.0,5,1
55,2023-10-11 18:07:01.883663,66.7,54.7,180,22,True,14.0,6,1
54,2023-10-11 18:07:01.940306,50.0,54.7,180,22,True,14.0,5,1
105,2023-10-11 18:07:02.048496,48.2,54.7,180,22,True,6.0,5,1
119,2023-10-11 18:07:02.232650,44.4,54.7,180,22,True,12.0,5,1
123,2023-10-11 18:07:02.404465,46.2,54.7,180,22,True,12.0,5,1
125,2023-10-11 18:07:02.575642,44.1,54.7,180,22,True,12.0,5,1
122,2023-10-11 18:07:02.743886,43.1,54.7,180,22,True,9.0,5,1
54,2023-10-11 18:07:02.800684,72.7,54.7,180,22,True,23.0,6,1
54,2023-10-11 18:07:02.859283,54.2,54.7,180,22,True,14.0,5,1
54,2023-10-11 18:07:02.915913,56.5,54.7,180,22,True,17.0,6,1
54,2023-10-11 18:07:02.972494,50.0,54.7,180,22,True,20.0,5,1
53,2023-10-11 18:07:03.028818,54.5,54.7,180,22,True,17.0,5,1
53,2023-10-11 18:07:03.085218,52.2,54.7,180,22,True,9.0,5,1
54,2023-10-11 18:07:03.141955,47.8,54.7,180,22,True,26.0,5,1
53,2023-10-11 18:07:03.198263,52.4,54.7,180,22,True,12.0,5,1
54,2023-10-11 18:07:03.255087,50.0,54.7,180,22,True,12.0,5,1
53,2023-10-11 18:07:03.311030,54.5,54.7,180,22,True,7.0,5,1
53,2023-10-11 18:07:03.367229,50.0,54.7,180,22,True,9.0,5,1
55,2023-10-11 18:07:03.425597,50.0,54.7,180,22,True,12.0,5,1
55,2023-10-11 18:07:03.483216,56.5,54.7,180,22,True,20.0,6,1
54,2023-10-11 18:07:03.539778,52.2,54.7,180,22,True,14.0,5,1
53,2023-10-11 18:07:03.596158,52.2,54.7,180,22,True,17.0,5,1
299,2023-10-11 18:07:03.979320,40.6,54.8,420,14,True,20.0,5,1
172,2023-10-11 18:07:04.209863,43.6,54.8,420,14,True,9.0,5,1
107,2023-10-11 18:07:04.351824,51.9,54.8,420,14,True,12.0,5,1
70,2023-10-11 18:07:04.452387,61.3,54.8,420,14,True,21.0,6,1
55,2023-10-11 18:07:04.512460,76.0,54.8,420,14,True,21.0,7,1
55,2023-10-11 18:07:04.583943,53.6,54.8,420,14,True,21.0,5,1
55,2023-10-11 18:07:04.656273,46.4,54.9,420,14,True,28.0,5,1
55,2023-10-11 18:07:04.728736,55.2,54.9,420,14,True,23.0,5,1
57,2023-10-11 18:07:04.802707,50.0,54.9,420,14,True,25.0,5,1
55,2023-10-11 18:07:04.873083,51.9,54.9,420,14,True,24.0,5,1
55,2023-10-11 18:07:04.945263,48.3,54.9,420,14,True,23.0,5,1
57,2023-10-11 18:07:05.019347,50.0,54.9,420,14,True,9.0,5,1
55,2023-10-11 18:07:05.089453,51.9,54.9,420,14,True,16.0,5,1
57,2023-10-11 18:07:05.163297,50.0,54.9,420,14,True,29.0,5,1
208,2023-10-11 18:07:05.809859,60.3,54.9,420,14,True,12.0,6,1
73,2023-10-11 18:07:05.893332,72.7,54.9,420,14,True,24.0,6,1
55,2023-10-11 18:07:05.953321,75.0,54.9,420,14,True,24.0,6,1
55,2023-10-11 18:07:06.024632,46.2,54.9,420,14,True,26.0,5,1
55,2023-10-11 18:07:06.096846,50.0,54.9,420,14,True,21.0,5,1
55,2023-10-11 18:07:06.169052,46.4,54.9,420,14,True,22.0,5,1
57,2023-10-11 18:07:06.243357,48.3,54.9,420,14,True,15.0,5,1
