execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,stream_count
92,2023-10-08 13:52:27.465608,20.5,51.1,180,22,True,25.0,7,1
52,2023-10-08 13:52:27.523943,44.1,51.2,180,22,True,334.0,7,1
35,2023-10-08 13:52:27.564576,50.0,51.2,180,22,True,12.0,7,1
33,2023-10-08 13:52:27.608274,48.1,51.2,180,22,True,4.0,7,1
32,2023-10-08 13:52:27.654333,40.7,51.2,180,22,True,2.0,7,1
34,2023-10-08 13:52:27.701254,44.8,51.2,180,22,True,9.0,7,1
33,2023-10-08 13:52:27.746186,44.4,51.2,180,22,True,4.0,7,1
32,2023-10-08 13:52:27.791891,42.3,51.2,180,22,True,11.0,7,1
29,2023-10-08 13:52:27.835472,42.3,51.2,180,22,False,11.0,7,1
31,2023-10-08 13:52:27.883403,43.3,51.2,180,22,True,13.0,7,1
34,2023-10-08 13:52:27.931906,44.8,51.2,180,22,True,13.0,7,1
29,2023-10-08 13:52:27.972879,48.0,51.2,180,22,False,13.0,7,1
34,2023-10-08 13:52:28.023477,39.3,51.2,180,22,True,13.0,7,1
32,2023-10-08 13:52:28.066958,44.4,51.2,180,22,True,13.0,7,1
32,2023-10-08 13:52:28.113456,44.4,51.2,180,22,True,7.0,7,1
32,2023-10-08 13:52:28.159726,40.7,51.2,180,22,True,9.0,7,1
31,2023-10-08 13:52:28.205942,40.7,51.2,180,22,True,11.0,7,1
34,2023-10-08 13:52:28.254527,41.4,51.2,180,22,True,11.0,7,1
31,2023-10-08 13:52:28.297260,48.1,51.2,180,22,True,7.0,7,1
35,2023-10-08 13:52:28.346831,39.3,51.2,180,22,True,15.0,7,1
31,2023-10-08 13:52:28.388830,48.1,51.2,180,22,True,9.0,7,1
32,2023-10-08 13:52:28.434874,40.7,51.2,180,22,True,16.0,7,1
115,2023-10-08 13:52:28.666533,42.5,51.2,180,22,True,16.0,7,1
79,2023-10-08 13:52:28.786424,35.1,51.2,180,22,True,11.0,7,1
76,2023-10-08 13:52:28.912190,34.7,51.2,180,22,True,18.0,7,1
79,2023-10-08 13:52:29.033644,35.8,51.2,180,22,True,9.0,7,1
58,2023-10-08 13:52:29.120367,37.9,51.2,180,22,False,9.0,7,1
78,2023-10-08 13:52:29.232934,36.1,51.2,180,22,True,23.0,7,1
78,2023-10-08 13:52:29.347598,32.9,51.2,180,22,True,6.0,7,1
93,2023-10-08 13:52:29.479689,35.3,51.2,180,22,True,10.0,7,1
59,2023-10-08 13:52:29.562977,38.9,51.2,180,22,False,10.0,7,1
57,2023-10-08 13:52:29.654033,40.0,51.2,180,22,False,10.0,7,1
89,2023-10-08 13:52:29.765787,32.9,51.2,180,22,True,34.0,7,1
45,2023-10-08 13:52:29.859032,37.7,51.2,180,22,False,34.0,7,1
94,2023-10-08 13:52:29.998934,32.9,51.2,180,22,True,26.0,7,1
57,2023-10-08 13:52:30.082480,38.3,51.2,180,22,False,26.0,7,1
81,2023-10-08 13:52:30.187969,32.9,51.2,180,22,True,26.0,7,1
66,2023-10-08 13:52:30.295925,41.5,51.2,180,22,False,26.0,7,1
104,2023-10-08 13:52:30.422021,33.3,51.2,180,22,True,27.0,7,1
106,2023-10-08 13:52:30.562412,32.9,51.2,180,22,True,5.0,7,1
42,2023-10-08 13:52:30.632451,45.5,51.2,180,22,False,5.0,7,1
87,2023-10-08 13:52:30.754362,32.4,51.2,180,22,True,17.0,7,1
123,2023-10-08 13:52:30.909740,30.7,51.2,180,22,True,6.0,7,1
195,2023-10-08 13:52:31.211126,25.6,51.2,180,22,True,7.0,7,1
34,2023-10-08 13:52:31.351808,60.5,51.2,180,22,True,27.0,7,1
31,2023-10-08 13:52:31.394875,48.0,51.2,180,22,True,9.0,7,1
138,2023-10-08 13:52:31.547165,27.2,51.2,180,22,True,31.0,7,1
82,2023-10-08 13:52:31.784925,30.1,51.2,180,22,False,31.0,7,1
69,2023-10-08 13:52:31.902934,31.3,51.2,180,22,False,31.0,7,1
63,2023-10-08 13:52:32.033546,37.3,51.2,180,22,False,31.0,7,1
46,2023-10-08 13:52:32.101938,40.4,51.2,180,22,False,31.0,7,1
73,2023-10-08 13:52:32.221022,34.8,51.2,180,22,True,70.0,7,1
229,2023-10-08 13:52:32.477473,46.0,51.2,180,22,True,28.0,7,1
52,2023-10-08 13:52:32.552933,39.2,51.2,180,22,False,28.0,7,1
116,2023-10-08 13:52:32.701913,31.3,51.2,180,22,True,37.0,7,1
90,2023-10-08 13:52:32.854691,32.9,51.2,180,22,True,31.0,7,1
105,2023-10-08 13:52:32.991316,31.5,51.2,180,22,True,12.0,7,1
78,2023-10-08 13:52:33.123758,34.3,51.2,180,22,True,34.0,7,1
65,2023-10-08 13:52:33.212465,40.4,51.2,180,22,False,34.0,7,1
124,2023-10-08 13:52:33.372768,32.0,51.2,180,22,True,34.0,7,1
102,2023-10-08 13:52:33.504177,31.8,51.2,180,22,True,25.0,7,1
91,2023-10-08 13:52:33.654478,30.9,51.2,180,22,True,12.0,7,1
133,2023-10-08 13:52:33.835402,36.9,51.2,180,22,True,14.0,7,1
38,2023-10-08 13:52:33.877762,61.5,51.2,180,22,True,23.0,7,1
32,2023-10-08 13:52:33.918212,58.3,51.2,180,22,True,17.0,7,1
35,2023-10-08 13:52:33.967073,44.8,51.2,180,22,True,14.0,7,1
32,2023-10-08 13:52:34.080827,53.6,51.2,120,30,False,14.0,7,1
30,2023-10-08 13:52:34.114900,63.2,51.2,120,30,False,14.0,7,1
30,2023-10-08 13:52:34.148966,57.1,51.2,120,30,False,14.0,7,1
42,2023-10-08 13:52:34.195720,28.1,51.2,120,30,False,14.0,7,1
128,2023-10-08 13:52:34.472011,29.6,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:34.504401,68.4,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:34.538884,55.6,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:34.572417,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:34.605928,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:34.640413,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:34.674187,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:34.707694,47.4,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:34.742899,50.0,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:34.775700,50.0,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:34.809486,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:34.843041,47.4,51.2,120,30,False,14.0,7,1
30,2023-10-08 13:52:34.878029,54.5,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:34.910862,47.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:34.944411,52.4,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:34.979141,47.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:35.012561,54.5,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:35.047691,45.0,51.2,120,30,False,14.0,7,1
30,2023-10-08 13:52:35.082767,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:35.115669,50.0,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:35.150020,55.0,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:35.182710,50.0,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:35.216238,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:35.250356,47.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:35.284773,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:35.318889,47.4,51.2,120,30,False,14.0,7,1
45,2023-10-08 13:52:35.418706,58.7,51.2,120,30,False,24.0,7,1
56,2023-10-08 13:52:35.504266,52.3,51.2,120,30,False,14.0,7,1
96,2023-10-08 13:52:35.617952,37.1,51.2,120,30,False,14.0,7,1
30,2023-10-08 13:52:35.657023,68.4,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:35.690234,65.0,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:35.723963,47.4,51.2,120,30,False,14.0,7,1
30,2023-10-08 13:52:35.758921,54.5,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:35.791679,52.6,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:35.825759,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:35.858884,47.4,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:35.892843,54.5,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:35.927519,50.0,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:35.960323,54.5,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:35.994626,47.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.028099,52.4,51.2,120,30,False,14.0,7,1
29,2023-10-08 13:52:36.063396,47.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.095771,50.0,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.130418,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.164648,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.198993,47.6,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.232140,52.6,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.266348,45.0,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.299590,52.6,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.334344,47.6,51.2,120,30,False,14.0,7,1
30,2023-10-08 13:52:36.369799,57.1,51.2,120,30,False,14.0,7,1
30,2023-10-08 13:52:36.404011,50.0,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.436371,52.4,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.470792,50.0,51.2,120,30,False,14.0,7,1
28,2023-10-08 13:52:36.504208,52.4,51.2,120,30,False,14.0,7,1
30,2023-10-08 13:52:36.540386,47.6,51.2,120,30,True,312.0,7,1
170,2023-10-08 13:52:36.883502,42.5,51.3,240,22,True,13.0,7,1
134,2023-10-08 13:52:37.095647,35.3,51.4,240,22,True,6.0,7,1
62,2023-10-08 13:52:37.184997,50.9,51.4,240,22,True,8.0,7,1
37,2023-10-08 13:52:37.226445,75.0,51.5,240,22,True,12.0,7,1
31,2023-10-08 13:52:37.266365,65.2,51.5,240,22,True,11.0,7,1
31,2023-10-08 13:52:37.312345,60.0,51.5,240,22,True,15.0,7,1
35,2023-10-08 13:52:37.361899,51.7,51.5,240,22,True,9.0,7,1
36,2023-10-08 13:52:37.409701,51.7,51.5,240,22,True,10.0,7,1
32,2023-10-08 13:52:37.451061,60.9,51.5,240,22,True,22.0,7,1
31,2023-10-08 13:52:37.497074,55.6,51.5,240,22,True,9.0,7,1
31,2023-10-08 13:52:37.543116,51.9,51.5,240,22,True,14.0,7,1
31,2023-10-08 13:52:37.589021,55.6,51.5,240,22,True,21.0,7,1
31,2023-10-08 13:52:37.634880,53.6,51.5,240,22,True,10.0,7,1
132,2023-10-08 13:52:37.780978,48.9,51.5,240,22,True,11.0,7,1
32,2023-10-08 13:52:37.816615,70.0,51.5,240,22,True,21.0,7,1
31,2023-10-08 13:52:37.862414,53.6,51.5,240,22,True,13.0,7,1
31,2023-10-08 13:52:37.908264,58.6,51.5,240,22,True,22.0,7,1
33,2023-10-08 13:52:37.955398,51.9,51.5,240,22,True,13.0,7,1
32,2023-10-08 13:52:38.000783,57.1,51.5,240,22,True,11.0,7,1
32,2023-10-08 13:52:38.046334,57.7,51.5,240,22,True,24.0,7,1
31,2023-10-08 13:52:38.092401,53.6,51.5,240,22,True,10.0,7,1
34,2023-10-08 13:52:38.140829,50.0,51.5,240,22,True,10.0,7,1
37,2023-10-08 13:52:38.342392,56.9,51.4,240,22,True,12.0,7,1
100,2023-10-08 13:52:38.452108,40.5,51.4,240,22,True,8.0,7,1
98,2023-10-08 13:52:38.591816,43.7,51.4,240,22,True,10.0,7,1
39,2023-10-08 13:52:38.635496,68.0,51.4,240,22,True,21.0,7,1
43,2023-10-08 13:52:38.685592,58.1,51.4,240,22,True,12.0,7,1
31,2023-10-08 13:52:38.721079,70.0,51.4,240,22,True,21.0,7,1
31,2023-10-08 13:52:38.766910,55.2,51.4,240,22,True,10.0,7,1
34,2023-10-08 13:52:38.815842,50.0,51.4,240,22,True,10.0,7,1
37,2023-10-08 13:52:38.864555,51.7,51.4,240,22,True,22.0,7,1
32,2023-10-08 13:52:38.905234,60.0,51.4,240,22,True,14.0,7,1
35,2023-10-08 13:52:38.954853,51.7,51.4,240,22,True,11.0,7,1
33,2023-10-08 13:52:38.999000,56.0,51.4,240,22,True,22.0,7,1
34,2023-10-08 13:52:39.045795,53.6,51.4,240,22,True,11.0,7,1
32,2023-10-08 13:52:39.089955,60.0,51.4,240,22,True,10.0,7,1
32,2023-10-08 13:52:39.136069,55.2,51.4,240,22,True,20.0,7,1
32,2023-10-08 13:52:39.182840,51.9,51.4,240,22,True,9.0,7,1
31,2023-10-08 13:52:39.227433,53.8,51.4,240,22,True,16.0,7,1
32,2023-10-08 13:52:39.274838,53.6,51.4,240,22,True,8.0,7,1
