execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,stream_count
7,2023-09-29 19:29:30.318291,51.9,40.1,240,22,True,20.0,100,1
7,2023-09-29 19:29:30.364785,60.0,40.1,240,22,True,7.0,100,1
7,2023-09-29 19:29:30.410438,57.7,40.1,240,22,True,28.0,100,1
6,2023-09-29 19:29:30.456767,59.2,40.1,240,22,True,11.0,100,1
10,2023-09-29 19:29:30.506472,60.2,40.1,240,22,False,11.0,100,1
6,2023-09-29 19:29:30.549034,62.3,40.1,240,22,False,11.0,100,1
6,2023-09-29 19:29:30.595349,56.3,40.1,240,22,False,11.0,100,1
6,2023-09-29 19:29:30.641655,60.0,40.1,240,22,True,65.0,100,1
7,2023-09-29 19:29:30.688492,58.4,40.1,240,22,True,30.0,100,1
6,2023-09-29 19:29:30.733827,58.6,40.1,240,22,True,13.0,100,1
27,2023-09-29 19:29:30.829093,52.0,40.1,240,22,True,21.0,100,1
108,2023-09-29 19:29:30.955630,44.7,40.1,240,22,True,32.0,100,1
8,2023-09-29 19:29:30.965091,89.5,40.1,240,22,True,9.0,100,1
26,2023-09-29 19:29:31.029650,67.6,40.1,240,22,True,34.0,100,1
22,2023-09-29 19:29:31.070309,75.4,40.1,240,22,True,19.0,100,1
7,2023-09-29 19:29:31.101185,73.5,40.1,240,22,True,15.0,100,1
7,2023-09-29 19:29:31.146754,58.3,40.1,240,22,True,28.0,100,1
6,2023-09-29 19:29:31.193090,59.2,40.1,240,22,True,11.0,100,1
6,2023-09-29 19:29:31.239084,56.3,40.1,240,22,True,15.0,100,1
7,2023-09-29 19:29:31.285628,58.7,40.1,240,22,True,25.0,100,1
6,2023-09-29 19:29:31.331680,56.5,40.1,240,22,True,15.0,100,1
7,2023-09-29 19:29:31.378297,60.3,40.1,240,22,True,13.0,100,1
