execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,stream_count
16,2023-09-28 14:25:18.450303,82.4,56.8,240,22,True,14.0,100,3
61,2023-09-28 14:25:18.540740,70.1,56.8,240,22,True,14.0,100,3
34,2023-09-28 14:25:18.675055,61.8,56.8,240,22,True,14.0,100,3
22,2023-09-28 14:25:18.735686,96.1,56.8,240,22,True,12.0,100,3
32,2023-09-28 14:25:18.790125,89.8,56.8,240,22,True,11.0,100,3
19,2023-09-28 14:25:18.835339,93.0,56.8,240,22,True,15.0,100,3
23,2023-09-28 14:25:18.883333,91.1,56.8,240,22,True,9.0,100,3
19,2023-09-28 14:25:18.924640,87.0,56.8,240,22,True,11.0,100,3
21,2023-09-28 14:25:18.973060,86.8,56.8,240,22,True,20.0,100,3
22,2023-09-28 14:25:19.021516,88.0,56.8,240,22,True,8.0,100,3
24,2023-09-28 14:25:19.075863,85.2,56.8,240,22,True,14.0,100,3
37,2023-09-28 14:25:19.127491,92.1,56.8,240,22,True,21.0,100,3
25,2023-09-28 14:25:19.163188,96.2,56.8,240,22,True,10.0,100,3
23,2023-09-28 14:25:19.206832,94.6,56.8,240,22,True,11.0,100,3
19,2023-09-28 14:25:19.249779,96.9,56.7,240,22,True,21.0,100,3
29,2023-09-28 14:25:19.305946,96.2,56.7,240,22,True,13.0,100,3
31,2023-09-28 14:25:19.363465,97.3,56.6,240,22,True,22.0,100,3
60,2023-09-28 14:25:19.443646,97.0,56.6,240,22,True,13.0,100,3
21,2023-09-28 14:25:19.497283,96.5,56.6,240,22,True,11.0,100,3
22,2023-09-28 14:25:19.538241,95.5,56.6,240,22,True,24.0,100,3
22,2023-09-28 14:25:19.586792,93.5,56.6,240,22,True,10.0,100,3
25,2023-09-28 14:25:19.633675,89.3,56.6,240,22,True,10.0,100,3
