execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,stream_count
13,2023-09-30 10:24:15.774579,14.3,44.0,120,14,True,59.0,6.6,1
9,2023-09-30 10:24:15.843315,58.7,44.0,120,14,False,59.0,7.0,1
10,2023-09-30 10:24:15.916028,55.0,44.0,120,14,False,59.0,7.0,1
11,2023-09-30 10:24:15.988551,56.5,44.0,120,14,False,59.0,7.0,1
13,2023-09-30 10:24:16.061808,55.6,44.0,120,14,False,59.0,7.0,1
10,2023-09-30 10:24:16.131867,56.1,44.0,120,14,False,59.0,7.0,1
11,2023-09-30 10:24:16.203958,54.0,44.0,120,14,False,59.0,7.0,1
11,2023-09-30 10:24:16.276388,54.8,44.1,120,14,False,59.0,7.0,1
11,2023-09-30 10:24:16.348780,54.8,44.1,120,14,False,59.0,7.0,1
10,2023-09-30 10:24:16.420583,55.2,44.1,120,14,False,59.0,7.0,1
11,2023-09-30 10:24:16.492726,56.9,44.1,120,14,False,59.0,7.0,1
9,2023-09-30 10:24:16.563730,55.8,44.1,120,14,False,59.0,7.0,1
10,2023-09-30 10:24:16.636265,55.3,44.1,120,14,False,59.0,7.0,1
10,2023-09-30 10:24:16.707231,55.0,44.1,120,14,False,59.0,7.0,1
9,2023-09-30 10:24:16.792738,52.2,44.1,120,14,False,204.0,7.0,1
10,2023-09-30 10:24:16.865184,56.0,44.1,120,14,False,59.0,7.0,1
11,2023-09-30 10:24:16.938718,57.9,44.1,120,14,False,59.0,7.0,1
11,2023-09-30 10:24:17.010164,60.2,44.1,120,14,False,59.0,7.0,1
10,2023-09-30 10:24:17.081506,57.4,44.1,120,14,False,59.0,7.0,1
10,2023-09-30 10:24:17.153559,56.6,44.1,120,14,False,59.0,7.0,1
10,2023-09-30 10:24:17.225735,57.0,44.1,120,14,False,59.0,7.0,1
32,2023-09-30 10:24:17.345103,52.1,44.1,120,14,False,59.0,7.0,1
58,2023-09-30 10:24:17.447325,67.7,44.1,120,14,False,59.0,7.1,1
81,2023-09-30 10:24:17.549360,52.0,44.1,120,14,False,59.0,7.0,1
12,2023-09-30 10:24:17.563637,84.0,44.1,120,14,True,290.0,7.2,1
11,2023-09-30 10:24:17.634566,66.7,44.1,120,14,True,612.0,7.1,1
10,2023-09-30 10:24:17.705387,60.2,44.1,120,14,False,612.0,7.0,1
13,2023-09-30 10:24:17.779728,58.7,44.1,120,14,False,612.0,7.0,1
18,2023-09-30 10:24:17.945833,50.2,44.1,420,14,True,12.0,6.9,1
13,2023-09-30 10:24:18.013383,61.3,44.1,420,14,True,25.0,7.0,1
88,2023-09-30 10:24:18.179694,50.7,44.1,420,14,True,23.0,6.9,1
55,2023-09-30 10:24:18.251310,68.9,44.1,420,14,True,26.0,7.1,1
37,2023-09-30 10:24:18.336388,71.8,44.1,420,14,True,21.0,7.1,1
15,2023-09-30 10:24:18.386450,78.9,44.1,420,14,True,21.0,7.2,1
13,2023-09-30 10:24:18.456426,71.7,44.1,420,14,True,16.0,7.1,1
12,2023-09-30 10:24:18.527570,65.0,44.1,420,14,True,14.0,7.1,1
13,2023-09-30 10:24:18.600584,60.9,44.2,420,14,True,4.0,7.0,1
12,2023-09-30 10:24:18.671833,61.7,44.2,420,14,True,5.0,7.0,1
13,2023-09-30 10:24:18.744894,60.5,44.2,420,14,True,2.0,7.0,1
11,2023-09-30 10:24:18.814787,60.9,44.2,420,14,True,4.0,7.0,1
10,2023-09-30 10:24:18.885707,59.1,44.2,420,14,True,3.0,7.0,1
11,2023-09-30 10:24:18.958574,60.9,44.2,420,14,True,2.0,7.0,1
16,2023-09-30 10:24:19.088043,49.3,44.2,420,14,True,13.0,6.9,1
16,2023-09-30 10:24:19.160462,60.2,44.2,420,14,True,10.0,7.0,1
11,2023-09-30 10:24:19.226921,61.2,44.2,420,14,True,10.0,7.0,1
11,2023-09-30 10:24:19.299499,59.8,44.2,420,14,True,9.0,7.0,1
12,2023-09-30 10:24:19.450117,38.7,44.2,420,14,True,8.0,6.8,1
17,2023-09-30 10:24:19.489606,79.0,44.2,420,14,True,11.0,7.2,1
