rtt,timestamp
0.0095,2022-01-26 15:39:58.436929+00:00
0.0085,2022-01-26 15:39:59.741254+00:00
0.0085,2022-01-26 15:40:00.404361+00:00
0.0079,2022-01-26 15:40:01.336933+00:00
0.0074,2022-01-26 15:40:02.717637+00:00
0.0069,2022-01-26 15:40:03.922965+00:00
0.0069,2022-01-26 15:40:03.922965+00:00
0.0064,2022-01-26 15:40:05.151467+00:00
0.0059,2022-01-26 15:40:06.626065+00:00
0.0057,2022-01-26 15:40:07.406991+00:00
0.0051,2022-01-26 15:40:08.740297+00:00
0.0051,2022-01-26 15:40:08.740297+00:00
0.0064,2022-01-26 15:40:10.206541+00:00
0.006,2022-01-26 15:40:11.566921+00:00
0.0072,2022-01-26 15:40:12.445371+00:00
0.0065,2022-01-26 15:40:13.788376+00:00
0.0059,2022-01-26 15:40:14.480558+00:00
0.0059,2022-01-26 15:40:16.283277+00:00
0.0056,2022-01-26 15:40:17.180934+00:00
0.0052,2022-01-26 15:40:18.073716+00:00
0.0049,2022-01-26 15:40:19.009732+00:00
0.0063,2022-01-26 15:40:19.850924+00:00
0.0068,2022-01-26 15:40:20.845270+00:00
0.0077,2022-01-26 15:40:21.820798+00:00
0.0072,2022-01-26 15:40:22.664418+00:00
0.0085,2022-01-26 15:40:24.074263+00:00
0.0082,2022-01-26 15:40:25.449379+00:00
0.0074,2022-01-26 15:40:25.989502+00:00
0.0066,2022-01-26 15:40:27.324161+00:00
0.0066,2022-01-26 15:40:27.324161+00:00
0.0063,2022-01-26 15:40:28.814809+00:00
0.006,2022-01-26 15:40:30.311582+00:00
0.0054,2022-01-26 15:40:31.842991+00:00
0.0051,2022-01-26 15:40:32.342146+00:00
0.005,2022-01-26 15:40:33.746492+00:00
0.0048,2022-01-26 15:40:34.504809+00:00
0.0044,2022-01-26 15:40:35.463886+00:00
0.0042,2022-01-26 15:40:36.140394+00:00
0.0044,2022-01-26 15:40:37.492157+00:00
0.0043,2022-01-26 15:40:38.670708+00:00
0.0081,2022-01-26 15:40:39.468847+00:00
0.0077,2022-01-26 15:40:40.704984+00:00
0.0066,2022-01-26 15:40:41.781301+00:00
0.0056,2022-01-26 15:40:43.191047+00:00
0.0059,2022-01-26 15:40:43.869981+00:00
0.0052,2022-01-26 15:40:44.956854+00:00
0.0057,2022-01-26 15:40:45.870266+00:00
0.0053,2022-01-26 15:40:46.775902+00:00
0.0052,2022-01-26 15:40:47.443682+00:00
0.0057,2022-01-26 15:40:48.558518+00:00
0.005,2022-01-26 15:40:50.075064+00:00
0.0047,2022-01-26 15:40:51.067302+00:00
0.0043,2022-01-26 15:40:51.718305+00:00
0.0053,2022-01-26 15:40:53.465714+00:00
0.0065,2022-01-26 15:40:54.110963+00:00
0.0062,2022-01-26 15:40:55.550302+00:00
0.0058,2022-01-26 15:40:56.627364+00:00
0.0056,2022-01-26 15:40:57.489339+00:00
0.0053,2022-01-26 15:40:58.095873+00:00
0.0065,2022-01-26 15:40:59.579671+00:00
