rtt,timestamp
0.0057,2022-01-26 16:18:44.383642+00:00
0.0051,2022-01-26 16:18:45.106642+00:00
0.0046,2022-01-26 16:18:46.060288+00:00
0.0042,2022-01-26 16:18:47.927433+00:00
0.0042,2022-01-26 16:18:47.927433+00:00
0.0036,2022-01-26 16:18:49.279304+00:00
0.0034,2022-01-26 16:18:50.686607+00:00
0.0035,2022-01-26 16:18:51.919168+00:00
0.0032,2022-01-26 16:18:52.719858+00:00
0.0039,2022-01-26 16:18:53.856548+00:00
0.0037,2022-01-26 16:18:54.883382+00:00
0.0042,2022-01-26 16:18:56.257631+00:00
0.0042,2022-01-26 16:18:56.257631+00:00
0.0037,2022-01-26 16:18:57.717803+00:00
0.0033,2022-01-26 16:18:58.789307+00:00
0.0029,2022-01-26 16:19:00.132631+00:00
0.0026,2022-01-26 16:19:01.137784+00:00
0.0022,2022-01-26 16:19:02.081575+00:00
0.0038,2022-01-26 16:19:03.313609+00:00
0.0035,2022-01-26 16:19:04.625463+00:00
0.0032,2022-01-26 16:19:05.209715+00:00
0.0026,2022-01-26 16:19:06.515105+00:00
0.0023,2022-01-26 16:19:07.344253+00:00
0.0037,2022-01-26 16:19:08.579164+00:00
0.0037,2022-01-26 16:19:08.579164+00:00
0.0087,2022-01-26 16:19:10.752522+00:00
0.0087,2022-01-26 16:19:10.752522+00:00
0.0067,2022-01-26 16:19:12.746402+00:00
0.0067,2022-01-26 16:19:12.746402+00:00
0.0058,2022-01-26 16:19:14.148914+00:00
0.0054,2022-01-26 16:19:15.649463+00:00
0.0049,2022-01-26 16:19:16.761056+00:00
0.0043,2022-01-26 16:19:17.711700+00:00
0.0039,2022-01-26 16:19:18.387872+00:00
0.003,2022-01-26 16:19:20.238568+00:00
0.003,2022-01-26 16:19:20.238568+00:00
0.0052,2022-01-26 16:19:21.416691+00:00
0.0046,2022-01-26 16:19:22.859921+00:00
0.004,2022-01-26 16:19:24.349272+00:00
0.0036,2022-01-26 16:19:25.413045+00:00
0.0036,2022-01-26 16:19:25.413045+00:00
0.0032,2022-01-26 16:19:26.651176+00:00
0.0029,2022-01-26 16:19:27.976901+00:00
0.0025,2022-01-26 16:19:28.624857+00:00
0.0021,2022-01-26 16:19:30.490275+00:00
0.0018,2022-01-26 16:19:31.517502+00:00
0.0016,2022-01-26 16:19:32.413293+00:00
0.0014,2022-01-26 16:19:33.355880+00:00
0.0013,2022-01-26 16:19:34.218505+00:00
0.0017,2022-01-26 16:19:35.527187+00:00
0.0015,2022-01-26 16:19:36.500242+00:00
0.0038,2022-01-26 16:19:37.927235+00:00
0.0052,2022-01-26 16:19:38.806936+00:00
0.0047,2022-01-26 16:19:39.749267+00:00
0.0035,2022-01-26 16:19:41.028757+00:00
0.003,2022-01-26 16:19:41.663877+00:00
0.0038,2022-01-26 16:19:42.276341+00:00
0.0034,2022-01-26 16:19:43.424780+00:00
0.003,2022-01-26 16:19:44.173500+00:00
0.0027,2022-01-26 16:19:45.591407+00:00
