execution_time,timestamp
1,2022-02-02 21:37:48.320973
0,2022-02-02 21:37:48.372972
0,2022-02-02 21:37:48.388972
0,2022-02-02 21:37:48.409972
1,2022-02-02 21:37:48.423972
0,2022-02-02 21:37:48.450973
0,2022-02-02 21:37:48.466977
1,2022-02-02 21:37:48.482973
0,2022-02-02 21:37:48.498977
0,2022-02-02 21:37:48.514972
1,2022-02-02 21:37:48.531974
1,2022-02-02 21:37:48.547993
1,2022-02-02 21:37:48.564972
0,2022-02-02 21:37:48.578996
0,2022-02-02 21:37:48.591973
1,2022-02-02 21:37:48.611974
1,2022-02-02 21:37:48.627992
0,2022-02-02 21:37:48.641971
0,2022-02-02 21:37:48.659971
1,2022-02-02 21:37:48.676975
0,2022-02-02 21:37:48.691972
1,2022-02-02 21:37:48.706972
0,2022-02-02 21:37:48.723973
0,2022-02-02 21:37:48.738972
0,2022-02-02 21:37:48.753973
0,2022-02-02 21:37:48.770973
0,2022-02-02 21:37:48.786981
1,2022-02-02 21:37:48.800973
0,2022-02-02 21:37:48.818972
0,2022-02-02 21:37:48.835972
0,2022-02-02 21:37:48.850971
1,2022-02-02 21:37:48.867973
1,2022-02-02 21:37:48.882982
0,2022-02-02 21:37:48.898972
1,2022-02-02 21:37:48.915972
0,2022-02-02 21:37:48.930973
1,2022-02-02 21:37:48.946974
0,2022-02-02 21:37:48.964123
1,2022-02-02 21:37:48.980177
0,2022-02-02 21:37:48.994123
1,2022-02-02 21:37:49.012123
1,2022-02-02 21:37:49.029124
1,2022-02-02 21:37:49.044123
0,2022-02-02 21:37:49.060128
0,2022-02-02 21:37:49.076124
1,2022-02-02 21:37:49.089129
1,2022-02-02 21:37:49.107124
1,2022-02-02 21:37:49.123123
0,2022-02-02 21:37:49.139123
1,2022-02-02 21:37:49.155123
1,2022-02-02 21:37:49.169123
1,2022-02-02 21:37:49.188123
1,2022-02-02 21:37:49.204124
1,2022-02-02 21:37:49.218124
1,2022-02-02 21:37:49.236123
0,2022-02-02 21:37:49.252123
0,2022-02-02 21:37:49.266123
0,2022-02-02 21:37:49.284124
0,2022-02-02 21:37:49.300132
0,2022-02-02 21:37:49.314124
0,2022-02-02 21:37:49.330123
1,2022-02-02 21:37:49.349123
1,2022-02-02 21:37:49.364124
1,2022-02-02 21:37:49.381123
0,2022-02-02 21:37:49.411123
0,2022-02-02 21:37:49.427123
1,2022-02-02 21:37:49.443124
0,2022-02-02 21:37:49.456129
0,2022-02-02 21:37:49.475123
1,2022-02-02 21:37:49.491125
1,2022-02-02 21:37:49.504124
1,2022-02-02 21:37:49.522123
1,2022-02-02 21:37:49.538129
1,2022-02-02 21:37:49.555129
1,2022-02-02 21:37:49.570129
1,2022-02-02 21:37:49.587129
1,2022-02-02 21:37:49.602178
0,2022-02-02 21:37:49.619123
0,2022-02-02 21:37:49.635142
0,2022-02-02 21:37:49.650123
0,2022-02-02 21:37:49.664138
1,2022-02-02 21:37:49.682208
0,2022-02-02 21:37:49.697207
1,2022-02-02 21:37:49.711209
1,2022-02-02 21:37:49.729207
0,2022-02-02 21:37:49.745207
0,2022-02-02 21:37:49.761230
0,2022-02-02 21:37:49.777026
1,2022-02-02 21:37:49.793456
0,2022-02-02 21:37:49.809538
1,2022-02-02 21:37:49.829013
0,2022-02-02 21:37:49.847014
0,2022-02-02 21:37:49.865012
0,2022-02-02 21:37:49.883013
1,2022-02-02 21:37:49.903017
0,2022-02-02 21:37:49.921011
1,2022-02-02 21:37:49.935018
0,2022-02-02 21:37:49.952011
0,2022-02-02 21:37:49.968011
0,2022-02-02 21:37:49.987015
0,2022-02-02 21:37:50.016011
0,2022-02-02 21:37:50.032012
0,2022-02-02 21:37:50.046012
0,2022-02-02 21:37:50.065011
0,2022-02-02 21:37:50.080012
0,2022-02-02 21:37:50.094011
0,2022-02-02 21:37:50.112011
0,2022-02-02 21:37:50.126012
0,2022-02-02 21:37:50.138011
0,2022-02-02 21:37:50.157012
0,2022-02-02 21:37:50.173012
