delta,timestamp
45,2022-02-07 22:49:08.656351
24,2022-02-07 22:49:08.680354
35,2022-02-07 22:49:08.715355
34,2022-02-07 22:49:08.750163
35,2022-02-07 22:49:08.785510
33,2022-02-07 22:49:08.819509
34,2022-02-07 22:49:08.854195
33,2022-02-07 22:49:08.887255
35,2022-02-07 22:49:08.923197
37,2022-02-07 22:49:08.961148
30,2022-02-07 22:49:08.991242
34,2022-02-07 22:49:09.025323
35,2022-02-07 22:49:09.061280
36,2022-02-07 22:49:09.097282
33,2022-02-07 22:49:09.131281
33,2022-02-07 22:49:09.165280
39,2022-02-07 22:49:09.204281
33,2022-02-07 22:49:09.238277
34,2022-02-07 22:49:09.272337
38,2022-02-07 22:49:09.311282
32,2022-02-07 22:49:09.344334
37,2022-02-07 22:49:09.380379
34,2022-02-07 22:49:09.414546
37,2022-02-07 22:49:09.452197
37,2022-02-07 22:49:09.489199
34,2022-02-07 22:49:09.523208
37,2022-02-07 22:49:09.561200
37,2022-02-07 22:49:09.598526
20,2022-02-07 22:49:09.619524
20,2022-02-07 22:49:09.640525
19,2022-02-07 22:49:09.659525
21,2022-02-07 22:49:09.679591
18,2022-02-07 22:49:09.698528
20,2022-02-07 22:49:09.719526
21,2022-02-07 22:49:09.741525
32,2022-02-07 22:49:09.773528
36,2022-02-07 22:49:09.809531
34,2022-02-07 22:49:09.844334
34,2022-02-07 22:49:09.878398
34,2022-02-07 22:49:09.912722
37,2022-02-07 22:49:09.950520
31,2022-02-07 22:49:09.981521
35,2022-02-07 22:49:10.017519
36,2022-02-07 22:49:10.053520
36,2022-02-07 22:49:10.089521
34,2022-02-07 22:49:10.123528
33,2022-02-07 22:49:10.158520
36,2022-02-07 22:49:10.193521
33,2022-02-07 22:49:10.227519
35,2022-02-07 22:49:10.262520
33,2022-02-07 22:49:10.296520
36,2022-02-07 22:49:10.332521
34,2022-02-07 22:49:10.367520
35,2022-02-07 22:49:10.402528
34,2022-02-07 22:49:10.437523
35,2022-02-07 22:49:10.474523
32,2022-02-07 22:49:10.505520
35,2022-02-07 22:49:10.540523
39,2022-02-07 22:49:10.580520
37,2022-02-07 22:49:10.617521
36,2022-02-07 22:49:10.654519
24,2022-02-07 22:49:10.679521
21,2022-02-07 22:49:10.699520
24,2022-02-07 22:49:10.723527
20,2022-02-07 22:49:10.745521
14,2022-02-07 22:49:10.759519
27,2022-02-07 22:49:10.786539
14,2022-02-07 22:49:10.801520
26,2022-02-07 22:49:10.827520
25,2022-02-07 22:49:10.852531
33,2022-02-07 22:49:10.886521
14,2022-02-07 22:49:10.900526
21,2022-02-07 22:49:10.922520
28,2022-02-07 22:49:10.951519
35,2022-02-07 22:49:10.986520
37,2022-02-07 22:49:11.023521
22,2022-02-07 22:49:11.045521
19,2022-02-07 22:49:11.064530
39,2022-02-07 22:49:11.104521
43,2022-02-07 22:49:11.147526
36,2022-02-07 22:49:11.184521
33,2022-02-07 22:49:11.218521
35,2022-02-07 22:49:11.252527
33,2022-02-07 22:49:11.286521
33,2022-02-07 22:49:11.319521
38,2022-02-07 22:49:11.358521
34,2022-02-07 22:49:11.392525
33,2022-02-07 22:49:11.426519
34,2022-02-07 22:49:11.460522
36,2022-02-07 22:49:11.496524
34,2022-02-07 22:49:11.531521
33,2022-02-07 22:49:11.564524
34,2022-02-07 22:49:11.599522
20,2022-02-07 22:49:11.620521
20,2022-02-07 22:49:11.641519
20,2022-02-07 22:49:11.662519
29,2022-02-07 22:49:11.691521
48,2022-02-07 22:49:11.740520
30,2022-02-07 22:49:11.771520
32,2022-02-07 22:49:11.803522
32,2022-02-07 22:49:11.836522
31,2022-02-07 22:49:11.868520
33,2022-02-07 22:49:11.901523
