execution_time,timestamp
37,2022-03-02 13:07:07.072911
38,2022-03-02 13:07:07.170911
30,2022-03-02 13:07:07.211909
30,2022-03-02 13:07:07.258910
35,2022-03-02 13:07:07.308913
35,2022-03-02 13:07:07.358909
32,2022-03-02 13:07:07.403911
31,2022-03-02 13:07:07.445908
33,2022-03-02 13:07:07.490911
30,2022-03-02 13:07:07.532909
31,2022-03-02 13:07:07.574911
35,2022-03-02 13:07:07.620912
32,2022-03-02 13:07:07.663910
35,2022-03-02 13:07:07.710911
33,2022-03-02 13:07:07.756908
34,2022-03-02 13:07:07.804911
31,2022-03-02 13:07:07.849909
32,2022-03-02 13:07:07.893911
30,2022-03-02 13:07:07.935910
29,2022-03-02 13:07:07.974912
28,2022-03-02 13:07:08.013911
33,2022-03-02 13:07:08.057911
29,2022-03-02 13:07:08.098912
29,2022-03-02 13:07:08.137909
32,2022-03-02 13:07:08.179910
31,2022-03-02 13:07:08.221908
30,2022-03-02 13:07:08.261911
31,2022-03-02 13:07:08.303910
30,2022-03-02 13:07:08.345910
32,2022-03-02 13:07:08.389910
30,2022-03-02 13:07:08.430911
29,2022-03-02 13:07:08.469911
28,2022-03-02 13:07:08.507910
32,2022-03-02 13:07:08.550912
32,2022-03-02 13:07:08.591911
29,2022-03-02 13:07:08.631911
29,2022-03-02 13:07:08.670910
31,2022-03-02 13:07:08.713931
30,2022-03-02 13:07:08.754911
29,2022-03-02 13:07:08.794908
30,2022-03-02 13:07:08.836908
31,2022-03-02 13:07:08.877909
30,2022-03-02 13:07:08.918911
30,2022-03-02 13:07:08.959908
30,2022-03-02 13:07:09.000913
28,2022-03-02 13:07:09.040911
28,2022-03-02 13:07:09.079909
32,2022-03-02 13:07:09.122911
28,2022-03-02 13:07:09.161908
28,2022-03-02 13:07:09.201910
29,2022-03-02 13:07:09.239908
28,2022-03-02 13:07:09.277909
33,2022-03-02 13:07:09.322911
32,2022-03-02 13:07:09.366910
30,2022-03-02 13:07:09.409910
28,2022-03-02 13:07:09.448910
29,2022-03-02 13:07:09.489909
26,2022-03-02 13:07:09.526908
30,2022-03-02 13:07:09.567910
32,2022-03-02 13:07:09.608910
30,2022-03-02 13:07:09.650911
30,2022-03-02 13:07:09.690910
30,2022-03-02 13:07:09.731909
30,2022-03-02 13:07:09.772909
29,2022-03-02 13:07:09.812908
32,2022-03-02 13:07:09.854910
30,2022-03-02 13:07:09.894910
29,2022-03-02 13:07:09.935910
29,2022-03-02 13:07:09.975909
27,2022-03-02 13:07:10.013910
30,2022-03-02 13:07:10.054909
29,2022-03-02 13:07:10.095909
30,2022-03-02 13:07:10.136911
30,2022-03-02 13:07:10.177910
29,2022-03-02 13:07:10.218910
29,2022-03-02 13:07:10.258907
32,2022-03-02 13:07:10.301913
32,2022-03-02 13:07:10.344910
33,2022-03-02 13:07:10.389910
30,2022-03-02 13:07:10.430912
28,2022-03-02 13:07:10.468909
35,2022-03-02 13:07:10.513911
41,2022-03-02 13:07:10.569912
37,2022-03-02 13:07:10.622910
31,2022-03-02 13:07:10.664908
28,2022-03-02 13:07:10.702910
29,2022-03-02 13:07:10.742910
29,2022-03-02 13:07:10.783912
30,2022-03-02 13:07:10.824909
31,2022-03-02 13:07:10.867909
26,2022-03-02 13:07:10.913909
29,2022-03-02 13:07:10.953908
30,2022-03-02 13:07:10.995908
30,2022-03-02 13:07:11.036911
34,2022-03-02 13:07:11.083911
32,2022-03-02 13:07:11.126912
31,2022-03-02 13:07:11.171915
32,2022-03-02 13:07:11.215912
32,2022-03-02 13:07:11.260908
34,2022-03-02 13:07:11.306910
34,2022-03-02 13:07:11.353912
32,2022-03-02 13:07:11.397912
29,2022-03-02 13:07:11.445908
35,2022-03-02 13:07:11.492909
33,2022-03-02 13:07:11.537911
34,2022-03-02 13:07:11.582911
30,2022-03-02 13:07:11.625912
33,2022-03-02 13:07:11.670910
37,2022-03-02 13:07:11.722911
37,2022-03-02 13:07:11.772910
40,2022-03-02 13:07:11.824913
38,2022-03-02 13:07:11.876911
38,2022-03-02 13:07:11.925911
35,2022-03-02 13:07:11.974910
35,2022-03-02 13:07:12.021913
33,2022-03-02 13:07:12.066910
34,2022-03-02 13:07:12.111911
33,2022-03-02 13:07:12.157910
36,2022-03-02 13:07:12.204912
33,2022-03-02 13:07:12.249910
34,2022-03-02 13:07:12.294911
36,2022-03-02 13:07:12.342909
31,2022-03-02 13:07:12.386911
34,2022-03-02 13:07:12.430911
28,2022-03-02 13:07:12.471910
31,2022-03-02 13:07:12.512909
31,2022-03-02 13:07:12.554913
36,2022-03-02 13:07:12.599910
30,2022-03-02 13:07:12.641909
31,2022-03-02 13:07:12.683910
31,2022-03-02 13:07:12.724912
32,2022-03-02 13:07:12.768913
36,2022-03-02 13:07:12.815910
32,2022-03-02 13:07:12.859909
37,2022-03-02 13:07:12.908911
32,2022-03-02 13:07:12.952910
32,2022-03-02 13:07:12.994920
32,2022-03-02 13:07:13.039909
29,2022-03-02 13:07:13.081912
30,2022-03-02 13:07:13.124910
29,2022-03-02 13:07:13.165909
30,2022-03-02 13:07:13.206911
35,2022-03-02 13:07:13.252914
35,2022-03-02 13:07:13.298911
35,2022-03-02 13:07:13.346909
32,2022-03-02 13:07:13.392908
34,2022-03-02 13:07:13.438910
35,2022-03-02 13:07:13.485934
31,2022-03-02 13:07:13.529910
31,2022-03-02 13:07:13.571910
28,2022-03-02 13:07:13.611908
27,2022-03-02 13:07:13.649909
31,2022-03-02 13:07:13.691910
34,2022-03-02 13:07:13.739910
29,2022-03-02 13:07:13.780908
33,2022-03-02 13:07:13.825911
31,2022-03-02 13:07:13.869911
31,2022-03-02 13:07:13.910910
36,2022-03-02 13:07:13.957908
27,2022-03-02 13:07:13.996908
28,2022-03-02 13:07:14.035910
28,2022-03-02 13:07:14.074908
30,2022-03-02 13:07:14.115912
31,2022-03-02 13:07:14.157908
33,2022-03-02 13:07:14.203909
34,2022-03-02 13:07:14.248910
32,2022-03-02 13:07:14.291909
34,2022-03-02 13:07:14.338910
37,2022-03-02 13:07:14.387911
30,2022-03-02 13:07:14.433911
28,2022-03-02 13:07:14.473908
28,2022-03-02 13:07:14.511910
29,2022-03-02 13:07:14.550913
34,2022-03-02 13:07:14.595910
32,2022-03-02 13:07:14.639910
31,2022-03-02 13:07:14.681910
30,2022-03-02 13:07:14.722909
29,2022-03-02 13:07:14.763909
31,2022-03-02 13:07:14.806910
33,2022-03-02 13:07:14.853911
32,2022-03-02 13:07:14.895911
27,2022-03-02 13:07:14.933916
30,2022-03-02 13:07:14.974909
30,2022-03-02 13:07:15.015911
31,2022-03-02 13:07:15.058911
29,2022-03-02 13:07:15.100910
29,2022-03-02 13:07:15.140910
31,2022-03-02 13:07:15.181911
28,2022-03-02 13:07:15.220910
31,2022-03-02 13:07:15.261909
32,2022-03-02 13:07:15.304910
30,2022-03-02 13:07:15.346910
31,2022-03-02 13:07:15.388911
32,2022-03-02 13:07:15.431912
28,2022-03-02 13:07:15.470909
30,2022-03-02 13:07:15.512912
33,2022-03-02 13:07:15.555911
31,2022-03-02 13:07:15.596911
28,2022-03-02 13:07:15.635911
29,2022-03-02 13:07:15.676910
31,2022-03-02 13:07:15.718914
31,2022-03-02 13:07:15.760910
30,2022-03-02 13:07:15.800911
29,2022-03-02 13:07:15.840911
35,2022-03-02 13:07:15.887911
30,2022-03-02 13:07:15.929909
30,2022-03-02 13:07:15.970908
29,2022-03-02 13:07:16.010911
29,2022-03-02 13:07:16.050910
30,2022-03-02 13:07:16.091910
31,2022-03-02 13:07:16.133909
31,2022-03-02 13:07:16.175908
29,2022-03-02 13:07:16.216908
29,2022-03-02 13:07:16.257908
32,2022-03-02 13:07:16.300911
32,2022-03-02 13:07:16.344911
31,2022-03-02 13:07:16.388908
30,2022-03-02 13:07:16.430908
32,2022-03-02 13:07:16.473908
30,2022-03-02 13:07:16.513911
30,2022-03-02 13:07:16.555910
30,2022-03-02 13:07:16.597908
30,2022-03-02 13:07:16.638909
30,2022-03-02 13:07:16.680910
29,2022-03-02 13:07:16.720909
30,2022-03-02 13:07:16.760911
30,2022-03-02 13:07:16.801910
29,2022-03-02 13:07:16.842908
32,2022-03-02 13:07:16.885911
33,2022-03-02 13:07:16.931910
32,2022-03-02 13:07:16.974912
31,2022-03-02 13:07:17.018910
29,2022-03-02 13:07:17.059909
32,2022-03-02 13:07:17.103921
29,2022-03-02 13:07:17.145909
