execution_time,timestamp
36,2022-03-02 11:15:51.035823
37,2022-03-02 11:15:51.081835
39,2022-03-02 11:15:51.129822
34,2022-03-02 11:15:51.172874
34,2022-03-02 11:15:51.216865
35,2022-03-02 11:15:51.262874
35,2022-03-02 11:15:51.307819
37,2022-03-02 11:15:51.354875
35,2022-03-02 11:15:51.397836
34,2022-03-02 11:15:51.439874
34,2022-03-02 11:15:51.484815
38,2022-03-02 11:15:51.532840
38,2022-03-02 11:15:51.581826
35,2022-03-02 11:15:51.624823
36,2022-03-02 11:15:51.669875
37,2022-03-02 11:15:51.714818
37,2022-03-02 11:15:51.760818
34,2022-03-02 11:15:51.804820
36,2022-03-02 11:15:51.848875
39,2022-03-02 11:15:51.897877
37,2022-03-02 11:15:51.945875
35,2022-03-02 11:15:51.990875
34,2022-03-02 11:15:52.035820
35,2022-03-02 11:15:52.079820
34,2022-03-02 11:15:52.122817
35,2022-03-02 11:15:52.167820
35,2022-03-02 11:15:52.211822
34,2022-03-02 11:15:52.254875
34,2022-03-02 11:15:52.297817
39,2022-03-02 11:15:52.345820
36,2022-03-02 11:15:52.389875
34,2022-03-02 11:15:52.433823
37,2022-03-02 11:15:52.479824
35,2022-03-02 11:15:52.522874
34,2022-03-02 11:15:52.566818
35,2022-03-02 11:15:52.610881
36,2022-03-02 11:15:52.657819
36,2022-03-02 11:15:52.702829
35,2022-03-02 11:15:52.745936
37,2022-03-02 11:15:52.791948
35,2022-03-02 11:15:52.836820
34,2022-03-02 11:15:52.879874
34,2022-03-02 11:15:52.921820
33,2022-03-02 11:15:52.965822
35,2022-03-02 11:15:53.009867
34,2022-03-02 11:15:53.054867
35,2022-03-02 11:15:53.099875
34,2022-03-02 11:15:53.144869
35,2022-03-02 11:15:53.188815
42,2022-03-02 11:15:53.241817
37,2022-03-02 11:15:53.289824
36,2022-03-02 11:15:53.336839
34,2022-03-02 11:15:53.379824
34,2022-03-02 11:15:53.421874
36,2022-03-02 11:15:53.465831
38,2022-03-02 11:15:53.512820
36,2022-03-02 11:15:53.559817
36,2022-03-02 11:15:53.605835
36,2022-03-02 11:15:53.650867
35,2022-03-02 11:15:53.695818
37,2022-03-02 11:15:53.742817
38,2022-03-02 11:15:53.790819
36,2022-03-02 11:15:53.837818
37,2022-03-02 11:15:53.882826
36,2022-03-02 11:15:53.927870
35,2022-03-02 11:15:53.974815
36,2022-03-02 11:15:54.023820
35,2022-03-02 11:15:54.070816
35,2022-03-02 11:15:54.113821
35,2022-03-02 11:15:54.158817
35,2022-03-02 11:15:54.203825
35,2022-03-02 11:15:54.250823
36,2022-03-02 11:15:54.295875
38,2022-03-02 11:15:54.345889
34,2022-03-02 11:15:54.389875
36,2022-03-02 11:15:54.434874
39,2022-03-02 11:15:54.481819
44,2022-03-02 11:15:54.542823
43,2022-03-02 11:15:54.595816
37,2022-03-02 11:15:54.644819
38,2022-03-02 11:15:54.693901
36,2022-03-02 11:15:54.738928
37,2022-03-02 11:15:54.785818
45,2022-03-02 11:15:54.843820
41,2022-03-02 11:15:54.894820
42,2022-03-02 11:15:54.951818
44,2022-03-02 11:15:55.005821
49,2022-03-02 11:15:55.066819
40,2022-03-02 11:15:55.118823
44,2022-03-02 11:15:55.171824
41,2022-03-02 11:15:55.224824
44,2022-03-02 11:15:55.279817
44,2022-03-02 11:15:55.332819
44,2022-03-02 11:15:55.389816
41,2022-03-02 11:15:55.442914
43,2022-03-02 11:15:55.496912
46,2022-03-02 11:15:55.554912
45,2022-03-02 11:15:55.611914
46,2022-03-02 11:15:55.671907
36,2022-03-02 11:15:55.720909
36,2022-03-02 11:15:55.765940
36,2022-03-02 11:15:55.815924
35,2022-03-02 11:15:55.858970
36,2022-03-02 11:15:55.905910
35,2022-03-02 11:15:55.949972
37,2022-03-02 11:15:55.995958
38,2022-03-02 11:15:56.043958
36,2022-03-02 11:15:56.089020
35,2022-03-02 11:15:56.132911
38,2022-03-02 11:15:56.181908
40,2022-03-02 11:15:56.230907
37,2022-03-02 11:15:56.278912
34,2022-03-02 11:15:56.324914
36,2022-03-02 11:15:56.370912
37,2022-03-02 11:15:56.415908
40,2022-03-02 11:15:56.465909
38,2022-03-02 11:15:56.511972
37,2022-03-02 11:15:56.559967
36,2022-03-02 11:15:56.606987
35,2022-03-02 11:15:56.652911
33,2022-03-02 11:15:56.695907
38,2022-03-02 11:15:56.741909
43,2022-03-02 11:15:56.804907
40,2022-03-02 11:15:56.853913
41,2022-03-02 11:15:56.907909
46,2022-03-02 11:15:56.966908
40,2022-03-02 11:15:57.018908
40,2022-03-02 11:15:57.068908
13,2022-03-02 11:15:57.092907
13,2022-03-02 11:15:57.115910
36,2022-03-02 11:15:57.161911
13,2022-03-02 11:15:57.183910
35,2022-03-02 11:15:57.232911
39,2022-03-02 11:15:57.282908
38,2022-03-02 11:15:57.331915
37,2022-03-02 11:15:57.381910
36,2022-03-02 11:15:57.427907
37,2022-03-02 11:15:57.473999
38,2022-03-02 11:15:57.522912
39,2022-03-02 11:15:57.571967
34,2022-03-02 11:15:57.614918
36,2022-03-02 11:15:57.660064
34,2022-03-02 11:15:57.704054
37,2022-03-02 11:15:57.751055
40,2022-03-02 11:15:57.802004
37,2022-03-02 11:15:57.852003
36,2022-03-02 11:15:57.899007
36,2022-03-02 11:15:57.949021
39,2022-03-02 11:15:58.000007
36,2022-03-02 11:15:58.046007
37,2022-03-02 11:15:58.095063
36,2022-03-02 11:15:58.139062
36,2022-03-02 11:15:58.184063
37,2022-03-02 11:15:58.230117
34,2022-03-02 11:15:58.275057
37,2022-03-02 11:15:58.322018
40,2022-03-02 11:15:58.372003
38,2022-03-02 11:15:58.419006
38,2022-03-02 11:15:58.466005
38,2022-03-02 11:15:58.512016
38,2022-03-02 11:15:58.559015
38,2022-03-02 11:15:58.608014
35,2022-03-02 11:15:58.653004
36,2022-03-02 11:15:58.701004
39,2022-03-02 11:15:58.750013
38,2022-03-02 11:15:58.797007
40,2022-03-02 11:15:58.849005
39,2022-03-02 11:15:58.898011
37,2022-03-02 11:15:58.945010
38,2022-03-02 11:15:58.993008
36,2022-03-02 11:15:59.039013
38,2022-03-02 11:15:59.085019
36,2022-03-02 11:15:59.130068
35,2022-03-02 11:15:59.173125
35,2022-03-02 11:15:59.217116
37,2022-03-02 11:15:59.264005
37,2022-03-02 11:15:59.313003
37,2022-03-02 11:15:59.360548
35,2022-03-02 11:15:59.405543
38,2022-03-02 11:15:59.454541
39,2022-03-02 11:15:59.502544
35,2022-03-02 11:15:59.546548
34,2022-03-02 11:15:59.591548
35,2022-03-02 11:15:59.636547
35,2022-03-02 11:15:59.679547
36,2022-03-02 11:15:59.725600
36,2022-03-02 11:15:59.771545
35,2022-03-02 11:15:59.815602
34,2022-03-02 11:15:59.858562
34,2022-03-02 11:15:59.901548
36,2022-03-02 11:15:59.946606
35,2022-03-02 11:15:59.991599
35,2022-03-02 11:16:00.037546
33,2022-03-02 11:16:00.079546
34,2022-03-02 11:16:00.124600
33,2022-03-02 11:16:00.169542
76,2022-03-02 11:16:00.256542
46,2022-03-02 11:16:00.314552
43,2022-03-02 11:16:00.368553
13,2022-03-02 11:16:00.390544
35,2022-03-02 11:16:00.437543
37,2022-03-02 11:16:00.484547
53,2022-03-02 11:16:00.547543
34,2022-03-02 11:16:00.591548
34,2022-03-02 11:16:00.635544
33,2022-03-02 11:16:00.677546
32,2022-03-02 11:16:00.718630
34,2022-03-02 11:16:00.763542
37,2022-03-02 11:16:00.809542
40,2022-03-02 11:16:00.860553
36,2022-03-02 11:16:00.906559
57,2022-03-02 11:16:00.974545
66,2022-03-02 11:16:01.053544
58,2022-03-02 11:16:01.125543
55,2022-03-02 11:16:01.190574
54,2022-03-02 11:16:01.254608
77,2022-03-02 11:16:01.340600
55,2022-03-02 11:16:01.405543
56,2022-03-02 11:16:01.470605
55,2022-03-02 11:16:01.533600
56,2022-03-02 11:16:01.598542
35,2022-03-02 11:16:01.641625
57,2022-03-02 11:16:01.707543
58,2022-03-02 11:16:01.776547
55,2022-03-02 11:16:01.841545
105,2022-03-02 11:16:01.957543
83,2022-03-02 11:16:02.051600
58,2022-03-02 11:16:02.118543
60,2022-03-02 11:16:02.188593
70,2022-03-02 11:16:02.270548
124,2022-03-02 11:16:02.407542
62,2022-03-02 11:16:02.480547
85,2022-03-02 11:16:02.575561
91,2022-03-02 11:16:02.678542
100,2022-03-02 11:16:02.790542
84,2022-03-02 11:16:02.886545
37,2022-03-02 11:16:02.936540
58,2022-03-02 11:16:03.003599
86,2022-03-02 11:16:03.098542
62,2022-03-02 11:16:03.169592
60,2022-03-02 11:16:03.240578
55,2022-03-02 11:16:03.311548
54,2022-03-02 11:16:03.374591
57,2022-03-02 11:16:03.439591
60,2022-03-02 11:16:03.508543
67,2022-03-02 11:16:03.587542
69,2022-03-02 11:16:03.668542
83,2022-03-02 11:16:03.761548
78,2022-03-02 11:16:03.849544
77,2022-03-02 11:16:03.934599
77,2022-03-02 11:16:04.019653
83,2022-03-02 11:16:04.110547
79,2022-03-02 11:16:04.200548
54,2022-03-02 11:16:04.263599
74,2022-03-02 11:16:04.347541
76,2022-03-02 11:16:04.433599
77,2022-03-02 11:16:04.519600
79,2022-03-02 11:16:04.608549
86,2022-03-02 11:16:04.703543
73,2022-03-02 11:16:04.787540
76,2022-03-02 11:16:04.871545
75,2022-03-02 11:16:04.956560
55,2022-03-02 11:16:05.019543
59,2022-03-02 11:16:05.087542
86,2022-03-02 11:16:05.185541
83,2022-03-02 11:16:05.279544
82,2022-03-02 11:16:05.370549
78,2022-03-02 11:16:05.457543
80,2022-03-02 11:16:05.546559
81,2022-03-02 11:16:05.636544
58,2022-03-02 11:16:05.703543
86,2022-03-02 11:16:05.799544
69,2022-03-02 11:16:05.880544
84,2022-03-02 11:16:05.976555
125,2022-03-02 11:16:06.111544
85,2022-03-02 11:16:06.210545
78,2022-03-02 11:16:06.299562
92,2022-03-02 11:16:06.402547
62,2022-03-02 11:16:06.472545
58,2022-03-02 11:16:06.538547
56,2022-03-02 11:16:06.607545
70,2022-03-02 11:16:06.690544
63,2022-03-02 11:16:06.767548
61,2022-03-02 11:16:06.839554
36,2022-03-02 11:16:06.885582
57,2022-03-02 11:16:06.951653
56,2022-03-02 11:16:07.016551
53,2022-03-02 11:16:07.079546
75,2022-03-02 11:16:07.163549
64,2022-03-02 11:16:07.239553
56,2022-03-02 11:16:07.306547
35,2022-03-02 11:16:07.351672
11,2022-03-02 11:16:07.372543
34,2022-03-02 11:16:07.416545
34,2022-03-02 11:16:07.459599
31,2022-03-02 11:16:07.499563
34,2022-03-02 11:16:07.542545
34,2022-03-02 11:16:07.585605
33,2022-03-02 11:16:07.627604
36,2022-03-02 11:16:07.673541
31,2022-03-02 11:16:07.715545
35,2022-03-02 11:16:07.760592
