execution_time,timestamp
84,2022-03-02 13:08:10.780912
119,2022-03-02 13:08:10.942908
82,2022-03-02 13:08:11.064911
108,2022-03-02 13:08:11.216908
84,2022-03-02 13:08:11.339911
83,2022-03-02 13:08:11.463911
89,2022-03-02 13:08:11.622911
81,2022-03-02 13:08:11.780910
98,2022-03-02 13:08:11.920911
109,2022-03-02 13:08:12.075910
80,2022-03-02 13:08:12.195912
131,2022-03-02 13:08:12.371910
94,2022-03-02 13:08:12.507912
95,2022-03-02 13:08:12.646911
156,2022-03-02 13:08:12.847909
82,2022-03-02 13:08:12.970910
79,2022-03-02 13:08:13.090909
117,2022-03-02 13:08:13.249911
92,2022-03-02 13:08:13.392909
122,2022-03-02 13:08:13.556912
79,2022-03-02 13:08:13.677910
156,2022-03-02 13:08:13.877909
83,2022-03-02 13:08:14.000912
80,2022-03-02 13:08:14.119911
87,2022-03-02 13:08:14.248912
86,2022-03-02 13:08:14.374910
98,2022-03-02 13:08:14.515909
81,2022-03-02 13:08:14.669911
79,2022-03-02 13:08:14.790910
83,2022-03-02 13:08:14.913910
80,2022-03-02 13:08:15.034914
80,2022-03-02 13:08:15.154909
85,2022-03-02 13:08:15.280910
102,2022-03-02 13:08:15.424913
82,2022-03-02 13:08:15.546912
80,2022-03-02 13:08:15.665910
81,2022-03-02 13:08:15.788910
80,2022-03-02 13:08:15.908912
103,2022-03-02 13:08:16.051910
83,2022-03-02 13:08:16.176912
83,2022-03-02 13:08:16.300910
143,2022-03-02 13:08:16.485911
79,2022-03-02 13:08:16.603911
80,2022-03-02 13:08:16.723912
80,2022-03-02 13:08:16.844911
81,2022-03-02 13:08:16.964911
82,2022-03-02 13:08:17.086911
83,2022-03-02 13:08:17.208910
86,2022-03-02 13:08:17.335911
80,2022-03-02 13:08:17.453911
83,2022-03-02 13:08:17.576911
81,2022-03-02 13:08:17.695912
82,2022-03-02 13:08:17.817911
80,2022-03-02 13:08:17.935912
85,2022-03-02 13:08:18.058911
80,2022-03-02 13:08:18.177910
117,2022-03-02 13:08:18.337912
83,2022-03-02 13:08:18.458916
92,2022-03-02 13:08:18.593910
96,2022-03-02 13:08:18.730919
116,2022-03-02 13:08:18.888911
122,2022-03-02 13:08:19.049914
85,2022-03-02 13:08:19.175910
102,2022-03-02 13:08:19.316913
90,2022-03-02 13:08:19.451910
81,2022-03-02 13:08:19.571910
81,2022-03-02 13:08:19.694911
81,2022-03-02 13:08:19.816911
79,2022-03-02 13:08:19.935911
93,2022-03-02 13:08:20.067909
80,2022-03-02 13:08:20.188911
84,2022-03-02 13:08:20.312911
