execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature,pixel
16,2023-05-24 14:29:52.165130,0,0,0,0
8,2023-05-24 14:29:52.237814,0,0,0,0
8,2023-05-24 14:29:52.306534,0,0,0,0
7,2023-05-24 14:29:52.374135,0,0,0,0
6,2023-05-24 14:29:52.441702,0,0,0,0
8,2023-05-24 14:29:52.512040,0,0,0,0
7,2023-05-24 14:29:52.579801,0,0,0,0
12,2023-05-24 14:29:52.652828,0,0,0,0
6,2023-05-24 14:29:52.715202,0,0,0,0
6,2023-05-24 14:29:52.783732,0,0,0,0
7,2023-05-24 14:29:52.853298,0,0,0,0
6,2023-05-24 14:29:52.920985,0,0,0,0
7,2023-05-24 14:29:52.989906,0,0,0,0
6,2023-05-24 14:29:53.057152,0,0,0,0
7,2023-05-24 14:29:53.126315,0,0,0,0
6,2023-05-24 14:29:53.194305,0,0,0,0
9,2023-05-24 14:29:53.265477,0,0,0,0
6,2023-05-24 14:29:53.331204,0,0,0,0
6,2023-05-24 14:29:53.399781,0,0,0,0
7,2023-05-24 14:29:53.468622,0,0,0,0
6,2023-05-24 14:29:53.536483,0,0,0,0
6,2023-05-24 14:29:53.605421,0,0,0,0
10,2023-05-24 14:29:53.677483,0,0,0,0
6,2023-05-24 14:29:53.742520,0,0,0,0
6,2023-05-24 14:29:53.811057,0,0,0,0
7,2023-05-24 14:29:53.880418,0,0,0,0
6,2023-05-24 14:29:53.948369,0,0,0,0
7,2023-05-24 14:29:54.018112,0,0,0,0
6,2023-05-24 14:29:54.085566,0,0,0,0
7,2023-05-24 14:29:54.155129,0,0,0,0
12,2023-05-24 14:29:54.228460,0,0,0,0
8,2023-05-24 14:29:54.293012,0,0,0,0
7,2023-05-24 14:29:54.360595,0,0,0,0
12,2023-05-24 14:29:54.434335,0,0,0,0
6,2023-05-24 14:29:54.496839,0,0,0,0
13,2023-05-24 14:29:54.571816,0,0,0,0
6,2023-05-24 14:29:54.633765,0,0,0,0
6,2023-05-24 14:29:54.702495,0,0,0,0
7,2023-05-24 14:29:54.771447,0,0,0,0
6,2023-05-24 14:29:54.839037,0,0,0,0
6,2023-05-24 14:29:54.907676,0,0,0,0
8,2023-05-24 14:29:54.977951,0,0,0,0
7,2023-05-24 14:29:55.045811,0,0,0,0
11,2023-05-24 14:29:55.118690,0,0,0,0
7,2023-05-24 14:29:55.183892,0,0,0,0
6,2023-05-24 14:29:55.251186,0,0,0,0
6,2023-05-24 14:29:55.319628,0,0,0,0
7,2023-05-24 14:29:55.388999,0,0,0,0
7,2023-05-24 14:29:55.457463,0,0,0,0
11,2023-05-24 14:29:55.530470,0,0,0,0
10,2023-05-24 14:29:55.598339,0,0,0,0
6,2023-05-24 14:29:55.662996,0,0,0,0
21,2023-05-24 14:29:55.746966,0,0,0,0
7,2023-05-24 14:29:55.801023,0,0,0,0
7,2023-05-24 14:29:55.868826,0,0,0,0
6,2023-05-24 14:29:55.936615,0,0,0,0
7,2023-05-24 14:29:56.005650,0,0,0,0
13,2023-05-24 14:29:56.079954,0,0,0,0
8,2023-05-24 14:29:56.143112,0,0,0,0
7,2023-05-24 14:29:56.210482,0,0,0,0
7,2023-05-24 14:29:56.278344,0,0,0,0
11,2023-05-24 14:29:56.350596,0,0,0,0
6,2023-05-24 14:29:56.413499,0,0,0,0
6,2023-05-24 14:29:56.481952,0,0,0,0
6,2023-05-24 14:29:56.550423,0,0,0,0
6,2023-05-24 14:29:56.619098,0,0,0,0
7,2023-05-24 14:29:56.688088,0,0,0,0
7,2023-05-24 14:29:56.757068,0,0,0,0
6,2023-05-24 14:29:56.824862,0,0,0,0
14,2023-05-24 14:29:56.901319,0,0,0,0
7,2023-05-24 14:29:56.962611,0,0,0,0
7,2023-05-24 14:29:57.030678,0,0,0,0
7,2023-05-24 14:29:57.099266,0,0,0,0
6,2023-05-24 14:29:57.166675,0,0,0,0
7,2023-05-24 14:29:57.235984,0,0,0,0
11,2023-05-24 14:29:57.308706,0,0,0,0
21,2023-05-24 14:29:57.386808,0,0,0,0
10,2023-05-24 14:29:57.444166,0,0,0,0
10,2023-05-24 14:29:57.512739,0,0,0,0
20,2023-05-24 14:29:57.591807,0,0,0,0
15,2023-05-24 14:29:57.655074,0,0,0,0
20,2023-05-24 14:29:57.729152,0,0,0,0
16,2023-05-24 14:29:57.793242,0,0,0,0
12,2023-05-24 14:29:57.858521,0,0,0,0
13,2023-05-24 14:29:57.928134,0,0,0,0
17,2023-05-24 14:29:58.000833,0,0,0,0
14,2023-05-24 14:29:58.067017,0,0,0,0
13,2023-05-24 14:29:58.135076,0,0,0,0
16,2023-05-24 14:29:58.206372,0,0,0,0
20,2023-05-24 14:29:58.279927,0,0,0,0
25,2023-05-24 14:29:58.353105,0,0,0,0
