execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,bitrate,success,within_time,distance,consumption
16,2023-06-01 11:00:46.466074,39.2,46.1,230400,12,2764800,True,True,56.0,25
8,2023-06-01 11:00:46.474692,92.3,46.1,230400,12,2764800,True,True,12.0,25
7,2023-06-01 11:00:46.483189,85.7,46.1,230400,12,2764800,True,True,9.0,25
8,2023-06-01 11:00:46.492599,90.9,46.1,230400,12,2764800,True,True,23.0,25
8,2023-06-01 11:00:46.502026,89.5,46.1,230400,12,2764800,True,True,31.0,25
8,2023-06-01 11:00:46.511290,90.9,46.1,230400,12,2764800,True,True,23.0,25
7,2023-06-01 11:00:46.519774,92.9,46.1,230400,12,2764800,True,True,38.0,25
7,2023-06-01 11:00:46.528006,92.3,46.1,230400,12,2764800,True,True,26.0,25
7,2023-06-01 11:00:46.536244,92.9,46.1,230400,12,2764800,True,True,35.0,25
7,2023-06-01 11:00:46.544594,86.7,46.1,230400,12,2764800,True,True,13.0,25
8,2023-06-01 11:00:46.554100,94.1,46.1,230400,12,2764800,True,True,16.0,25
7,2023-06-01 11:00:46.562177,91.7,46.1,230400,12,2764800,True,True,24.0,25
7,2023-06-01 11:00:46.570098,84.6,46.1,230400,12,2764800,True,True,33.0,25
7,2023-06-01 11:00:46.578099,92.3,46.1,230400,12,2764800,True,True,9.0,25
7,2023-06-01 11:00:46.586449,91.7,46.1,230400,12,2764800,True,True,9.0,25
7,2023-06-01 11:00:46.594495,84.6,46.1,230400,12,2764800,True,True,7.0,25
7,2023-06-01 11:00:46.602612,91.7,46.1,230400,12,2764800,True,True,14.0,25
7,2023-06-01 11:00:46.610339,84.6,46.1,230400,12,2764800,True,True,12.0,25
7,2023-06-01 11:00:46.618084,91.7,46.1,230400,12,2764800,True,True,19.0,25
7,2023-06-01 11:00:46.627163,84.6,46.1,230400,12,2764800,True,True,12.0,25
8,2023-06-01 11:00:46.635990,85.7,46.1,230400,12,2764800,True,True,21.0,25
8,2023-06-01 11:00:46.644683,91.7,46.1,230400,12,2764800,True,True,14.0,25
8,2023-06-01 11:00:46.653291,88.9,46.1,230400,12,2764800,True,True,23.0,25
8,2023-06-01 11:00:46.661828,85.7,46.1,230400,12,2764800,True,True,18.0,25
7,2023-06-01 11:00:46.669547,91.7,46.1,230400,12,2764800,True,True,23.0,25
7,2023-06-01 11:00:46.677349,91.7,46.1,230400,12,2764800,True,True,16.0,25
7,2023-06-01 11:00:46.685038,92.3,46.1,230400,12,2764800,True,True,22.0,25
8,2023-06-01 11:00:46.696447,78.6,46.1,230400,12,2764800,True,True,14.0,25
8,2023-06-01 11:00:46.705113,88.9,46.1,230400,12,2764800,True,True,18.0,25
8,2023-06-01 11:00:46.713644,83.3,46.1,230400,12,2764800,True,True,16.0,25
8,2023-06-01 11:00:46.722151,85.7,46.1,230400,12,2764800,True,True,18.0,25
8,2023-06-01 11:00:46.731552,84.6,46.1,230400,12,2764800,True,True,12.0,25
8,2023-06-01 11:00:46.740543,92.9,46.1,230400,12,2764800,True,True,8.0,25
10,2023-06-01 11:00:46.751557,94.4,46.1,230400,12,2764800,True,True,9.0,25
9,2023-06-01 11:00:46.761799,90.0,46.1,230400,12,2764800,True,True,40.0,25
8,2023-06-01 11:00:46.771177,84.6,46.1,230400,12,2764800,True,True,46.0,25
8,2023-06-01 11:00:46.780530,92.3,46.1,230400,12,2764800,True,True,92.0,25
9,2023-06-01 11:00:46.790393,84.2,46.1,230400,12,2764800,True,True,62.0,25
8,2023-06-01 11:00:46.799724,92.3,46.1,230400,12,2764800,True,True,73.0,25
8,2023-06-01 11:00:46.808943,89.5,46.1,230400,12,2764800,True,True,46.0,25
8,2023-06-01 11:00:46.819323,76.9,46.1,230400,12,2764800,True,True,80.0,25
8,2023-06-01 11:00:46.828580,86.7,46.1,230400,12,2764800,True,True,27.0,25
7,2023-06-01 11:00:46.838401,88.9,46.1,230400,12,2764800,True,True,12.0,25
8,2023-06-01 11:00:46.847296,90.9,46.1,230400,12,2764800,True,True,20.0,25
8,2023-06-01 11:00:46.856315,85.7,46.1,230400,12,2764800,True,True,19.0,25
8,2023-06-01 11:00:46.865199,88.9,46.1,230400,12,2764800,True,True,15.0,25
7,2023-06-01 11:00:46.872942,91.7,46.1,230400,12,2764800,True,True,31.0,25
8,2023-06-01 11:00:46.883748,78.6,46.1,230400,12,2764800,True,True,14.0,25
9,2023-06-01 11:00:46.893642,88.9,46.1,230400,12,2764800,True,True,15.0,25
8,2023-06-01 11:00:46.902701,84.6,46.1,230400,12,2764800,True,True,17.0,25
8,2023-06-01 11:00:46.911611,85.7,46.1,230400,12,2764800,True,True,26.0,25
8,2023-06-01 11:00:46.920468,84.6,46.1,230400,12,2764800,True,True,19.0,25
9,2023-06-01 11:00:46.930559,89.5,46.1,230400,12,2764800,True,True,30.0,25
9,2023-06-01 11:00:46.940394,76.9,46.1,230400,12,2764800,True,True,20.0,25
9,2023-06-01 11:00:46.950484,88.9,46.1,230400,12,2764800,True,True,30.0,25
9,2023-06-01 11:00:46.960539,85.7,46.1,230400,12,2764800,True,True,23.0,25
9,2023-06-01 11:00:46.970904,83.3,46.1,230400,12,2764800,True,True,30.0,25
9,2023-06-01 11:00:46.981107,88.9,46.1,230400,12,2764800,True,True,18.0,25
9,2023-06-01 11:00:46.992208,78.6,46.1,230400,12,2764800,True,True,29.0,25
9,2023-06-01 11:00:47.002839,88.2,46.1,230400,12,2764800,True,True,19.0,25
9,2023-06-01 11:00:47.013194,84.2,46.1,230400,12,2764800,True,True,28.0,25
9,2023-06-01 11:00:47.023399,84.6,46.1,230400,12,2764800,True,True,21.0,25
9,2023-06-01 11:00:47.033641,84.2,46.1,230400,12,2764800,True,True,26.0,25
9,2023-06-01 11:00:47.043651,84.6,46.1,230400,12,2764800,True,True,17.0,25
9,2023-06-01 11:00:47.053767,89.5,46.1,230400,12,2764800,True,True,20.0,25
9,2023-06-01 11:00:47.063927,78.6,46.1,230400,12,2764800,True,True,13.0,25
9,2023-06-01 11:00:47.073797,89.5,46.1,230400,12,2764800,True,True,29.0,25
9,2023-06-01 11:00:47.083448,84.6,46.1,230400,12,2764800,True,True,19.0,25
9,2023-06-01 11:00:47.093472,84.2,46.1,230400,12,2764800,True,True,27.0,25
9,2023-06-01 11:00:47.103222,85.7,46.1,230400,12,2764800,True,True,18.0,25
9,2023-06-01 11:00:47.113106,88.9,46.1,230400,12,2764800,True,True,21.0,25
9,2023-06-01 11:00:47.123183,84.6,46.1,230400,12,2764800,True,True,10.0,25
9,2023-06-01 11:00:47.133355,84.2,46.1,230400,12,2764800,True,True,18.0,25
9,2023-06-01 11:00:47.143111,84.6,46.1,230400,12,2764800,True,True,15.0,25
9,2023-06-01 11:00:47.153151,89.5,46.1,230400,12,2764800,True,True,37.0,25
9,2023-06-01 11:00:47.164236,80.0,46.1,230400,12,2764800,True,True,33.0,25
9,2023-06-01 11:00:47.174121,84.2,46.1,230400,12,2764800,True,True,33.0,25
9,2023-06-01 11:00:47.184195,85.7,46.1,230400,12,2764800,True,True,28.0,25
9,2023-06-01 11:00:47.194016,89.5,46.1,230400,12,2764800,True,True,48.0,25
9,2023-06-01 11:00:47.203641,84.6,46.1,230400,12,2764800,True,True,27.0,25
9,2023-06-01 11:00:47.213723,85.0,46.1,230400,12,2764800,True,True,52.0,25
9,2023-06-01 11:00:47.223992,84.6,46.1,230400,12,2764800,True,True,35.0,25
10,2023-06-01 11:00:47.234965,85.0,46.1,230400,12,2764800,True,True,34.0,25
11,2023-06-01 11:00:47.247390,88.9,46.1,230400,12,2764800,True,True,21.0,25
10,2023-06-01 11:00:47.258244,89.5,46.1,230400,12,2764800,True,True,48.0,25
10,2023-06-01 11:00:47.268881,88.9,46.1,230400,12,2764800,True,True,26.0,25
9,2023-06-01 11:00:47.278875,78.6,46.1,230400,12,2764800,True,True,35.0,25
9,2023-06-01 11:00:47.288517,84.6,46.1,230400,12,2764800,True,True,20.0,25
8,2023-06-01 11:00:47.297779,94.1,46.1,230400,12,2764800,True,True,30.0,25
9,2023-06-01 11:00:47.307316,85.7,46.1,230400,12,2764800,True,True,12.0,25
8,2023-06-01 11:00:47.317466,88.2,46.1,230400,12,2764800,True,True,20.0,25
8,2023-06-01 11:00:47.328499,80.0,46.1,230400,12,2764800,True,True,7.0,25
8,2023-06-01 11:00:47.337864,94.1,46.1,230400,12,2764800,True,True,4.0,25
