execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature
43,2023-05-24 11:03:36.771262,0,0,0
24,2023-05-24 11:03:36.815834,0,0,0
44,2023-05-24 11:03:36.873464,0,0,0
14,2023-05-24 11:03:36.900711,0,0,0
43,2023-05-24 11:03:36.959228,0,0,0
26,2023-05-24 11:03:37.009323,0,0,0
21,2023-05-24 11:03:37.044680,0,0,0
44,2023-05-24 11:03:37.102939,0,0,0
14,2023-05-24 11:03:37.131924,0,0,0
14,2023-05-24 11:03:37.161348,0,0,0
42,2023-05-24 11:03:37.241047,0,0,0
14,2023-05-24 11:03:37.272840,0,0,0
15,2023-05-24 11:03:37.309302,0,0,0
15,2023-05-24 11:03:37.345169,0,0,0
28,2023-05-24 11:03:37.409997,0,0,0
33,2023-05-24 11:03:37.463507,0,0,0
55,2023-05-24 11:03:37.539140,0,0,0
11,2023-05-24 11:03:37.568729,0,0,0
39,2023-05-24 11:03:37.625968,0,0,0
15,2023-05-24 11:03:37.664501,0,0,0
40,2023-05-24 11:03:37.723055,0,0,0
11,2023-05-24 11:03:37.751873,0,0,0
21,2023-05-24 11:03:37.792620,0,0,0
38,2023-05-24 11:03:37.850917,0,0,0
26,2023-05-24 11:03:37.897596,0,0,0
19,2023-05-24 11:03:37.936356,0,0,0
11,2023-05-24 11:03:37.964622,0,0,0
21,2023-05-24 11:03:38.010703,0,0,0
39,2023-05-24 11:03:38.064816,0,0,0
16,2023-05-24 11:03:38.108728,0,0,0
22,2023-05-24 11:03:38.148683,0,0,0
40,2023-05-24 11:03:38.205286,0,0,0
17,2023-05-24 11:03:38.238951,0,0,0
14,2023-05-24 11:03:38.269028,0,0,0
42,2023-05-24 11:03:38.338315,0,0,0
30,2023-05-24 11:03:38.387656,0,0,0
30,2023-05-24 11:03:38.438840,0,0,0
15,2023-05-24 11:03:38.476222,0,0,0
19,2023-05-24 11:03:38.511258,0,0,0
59,2023-05-24 11:03:38.589496,0,0,0
14,2023-05-24 11:03:38.615639,0,0,0
21,2023-05-24 11:03:38.655577,0,0,0
25,2023-05-24 11:03:38.700160,0,0,0
49,2023-05-24 11:03:38.772625,0,0,0
70,2023-05-24 11:03:38.877796,0,0,0
35,2023-05-24 11:03:38.965233,0,0,0
40,2023-05-24 11:03:39.062752,0,0,0
66,2023-05-24 11:03:39.184369,0,0,0
121,2023-05-24 11:03:39.353556,0,0,0
124,2023-05-24 11:03:39.549697,0,0,0
107,2023-05-24 11:03:39.700429,0,0,0
109,2023-05-24 11:03:39.852878,0,0,0
64,2023-05-24 11:03:39.960690,0,0,0
48,2023-05-24 11:03:40.061877,0,0,0
62,2023-05-24 11:03:40.177749,0,0,0
73,2023-05-24 11:03:40.330046,0,0,0
82,2023-05-24 11:03:40.478371,0,0,0
83,2023-05-24 11:03:40.625474,0,0,0
86,2023-05-24 11:03:40.760708,0,0,0
109,2023-05-24 11:03:40.956532,0,0,0
