execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature
54,2023-05-24 11:03:36.777093,58.3,85.5,58.0
36,2023-05-24 11:03:36.819074,97.3,85.5,58.0
53,2023-05-24 11:03:36.876462,95.6,85.5,58.0
23,2023-05-24 11:03:36.903612,95.5,85.5,58.0
54,2023-05-24 11:03:36.962480,94.8,85.5,58.0
45,2023-05-24 11:03:37.012686,94.8,85.5,58.0
30,2023-05-24 11:03:37.047630,98.2,85.5,58.0
54,2023-05-24 11:03:37.106012,96.9,85.5,58.0
25,2023-05-24 11:03:37.135020,100.0,85.5,58.0
25,2023-05-24 11:03:37.165117,97.8,85.5,58.0
74,2023-05-24 11:03:37.244089,96.1,85.5,58.0
26,2023-05-24 11:03:37.276070,98.1,85.5,58.0
32,2023-05-24 11:03:37.312454,96.5,85.5,58.0
31,2023-05-24 11:03:37.348067,98.2,85.5,58.0
60,2023-05-24 11:03:37.413660,98.1,85.5,58.0
48,2023-05-24 11:03:37.466606,96.4,85.5,58.0
71,2023-05-24 11:03:37.542128,95.9,85.5,58.0
25,2023-05-24 11:03:37.571724,88.6,85.5,58.0
53,2023-05-24 11:03:37.629066,97.8,85.5,58.0
34,2023-05-24 11:03:37.667641,95.3,85.5,58.0
54,2023-05-24 11:03:37.726073,96.8,85.5,58.0
24,2023-05-24 11:03:37.755006,97.7,85.5,58.0
36,2023-05-24 11:03:37.795594,96.9,85.5,58.0
54,2023-05-24 11:03:37.855087,96.9,85.5,58.0
41,2023-05-24 11:03:37.900590,97.2,85.5,58.0
34,2023-05-24 11:03:37.939090,96.9,85.5,58.0
24,2023-05-24 11:03:37.967350,95.5,85.5,58.0
42,2023-05-24 11:03:38.013828,96.1,85.5,58.0
49,2023-05-24 11:03:38.068097,97.6,85.5,58.0
39,2023-05-24 11:03:38.111643,97.1,85.5,58.0
35,2023-05-24 11:03:38.151660,98.4,85.5,58.0
51,2023-05-24 11:03:38.208442,97.8,85.5,58.0
29,2023-05-24 11:03:38.242046,98.2,85.5,63.0
26,2023-05-24 11:03:38.273915,100.0,85.5,63.0
63,2023-05-24 11:03:38.341448,97.1,85.5,63.0
45,2023-05-24 11:03:38.391120,96.4,85.5,63.0
45,2023-05-24 11:03:38.442015,96.4,85.5,63.0
32,2023-05-24 11:03:38.480672,98.2,85.5,63.0
29,2023-05-24 11:03:38.514229,98.3,85.5,63.0
71,2023-05-24 11:03:38.592369,95.9,85.5,63.0
22,2023-05-24 11:03:38.618617,97.8,85.5,63.0
35,2023-05-24 11:03:38.658622,96.8,85.5,63.0
40,2023-05-24 11:03:38.702962,98.6,85.5,63.0
68,2023-05-24 11:03:38.775253,95.7,85.5,63.0
101,2023-05-24 11:03:38.881264,98.2,85.5,63.0
69,2023-05-24 11:03:38.968191,97.9,85.5,63.0
92,2023-05-24 11:03:39.065504,97.4,85.5,63.0
116,2023-05-24 11:03:39.188218,99.5,85.5,63.0
163,2023-05-24 11:03:39.358342,97.8,85.6,63.0
188,2023-05-24 11:03:39.552627,97.4,85.6,63.0
145,2023-05-24 11:03:39.703258,97.9,85.6,63.0
147,2023-05-24 11:03:39.856710,98.4,85.6,63.0
101,2023-05-24 11:03:39.965132,99.4,85.5,63.0
81,2023-05-24 11:03:40.067872,98.2,85.5,63.0
105,2023-05-24 11:03:40.182123,98.4,85.5,63.0
147,2023-05-24 11:03:40.343214,99.2,85.6,67.0
133,2023-05-24 11:03:40.482682,97.3,85.6,67.0
140,2023-05-24 11:03:40.628823,97.8,85.6,67.0
136,2023-05-24 11:03:40.771270,98.3,85.6,67.0
164,2023-05-24 11:03:40.961731,97.7,85.6,67.0
180,2023-05-24 11:03:41.147299,98.0,85.6,67.0
171,2023-05-24 11:03:41.334726,98.0,85.6,67.0
109,2023-05-24 11:03:41.456377,95.3,85.6,67.0
168,2023-05-24 11:03:41.630663,98.6,85.6,67.0
147,2023-05-24 11:03:41.783208,97.9,85.6,67.0
132,2023-05-24 11:03:41.921073,98.6,85.6,67.0
104,2023-05-24 11:03:42.030678,97.2,85.6,67.0
150,2023-05-24 11:03:42.186836,97.6,85.6,67.0
145,2023-05-24 11:03:42.346928,97.6,85.6,67.0
186,2023-05-24 11:03:42.538563,98.7,85.6,67.0
139,2023-05-24 11:03:42.683861,97.8,85.6,67.0
121,2023-05-24 11:03:42.811634,98.5,85.6,67.0
196,2023-05-24 11:03:43.013214,98.4,85.6,67.0
135,2023-05-24 11:03:43.155494,93.9,85.6,67.0
149,2023-05-24 11:03:43.310740,99.2,85.6,67.0
142,2023-05-24 11:03:43.458608,97.5,85.6,67.0
160,2023-05-24 11:03:43.625021,98.9,85.6,67.0
108,2023-05-24 11:03:43.739309,97.8,85.6,67.0
111,2023-05-24 11:03:43.858062,99.5,85.6,67.0
132,2023-05-24 11:03:43.997649,98.2,85.6,67.0
125,2023-05-24 11:03:44.129036,97.6,85.6,67.0
195,2023-05-24 11:03:44.339770,99.7,85.6,67.0
169,2023-05-24 11:03:44.514938,99.3,85.6,68.0
150,2023-05-24 11:03:44.670347,96.8,85.6,68.0
183,2023-05-24 11:03:44.859358,98.7,85.6,68.0
154,2023-05-24 11:03:45.019986,98.4,85.6,68.0
149,2023-05-24 11:03:45.179251,97.3,85.6,68.0
153,2023-05-24 11:03:45.338977,98.4,85.6,68.0
124,2023-05-24 11:03:45.468951,99.5,85.6,68.0
153,2023-05-24 11:03:45.631780,98.5,85.6,68.0
158,2023-05-24 11:03:45.796984,97.3,85.6,68.0
185,2023-05-24 11:03:45.987488,96.8,85.6,68.0
95,2023-05-24 11:03:46.088247,95.6,85.6,68.0
126,2023-05-24 11:03:46.219610,98.6,85.6,68.0
137,2023-05-24 11:03:46.383040,97.7,85.6,68.0
152,2023-05-24 11:03:46.540086,98.0,85.6,68.0
133,2023-05-24 11:03:46.679367,98.2,85.6,62.0
133,2023-05-24 11:03:46.818345,96.9,85.6,62.0
119,2023-05-24 11:03:46.944475,99.5,85.6,62.0
132,2023-05-24 11:03:47.085146,97.3,85.6,62.0
184,2023-05-24 11:03:47.274926,97.7,85.6,62.0
76,2023-05-24 11:03:47.364944,95.7,85.6,62.0
128,2023-05-24 11:03:47.506372,97.0,85.6,62.0
156,2023-05-24 11:03:47.668376,98.0,85.6,62.0
92,2023-05-24 11:03:47.768105,98.7,85.6,62.0
239,2023-05-24 11:03:48.030809,99.8,85.6,62.0
