execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature
11,2023-05-24 10:56:25.127899,0,0,0
8,2023-05-24 10:56:25.140889,0,0,0
9,2023-05-24 10:56:25.154710,0,0,0
10,2023-05-24 10:56:25.169361,0,0,0
9,2023-05-24 10:56:25.183198,0,0,0
10,2023-05-24 10:56:25.198124,0,0,0
8,2023-05-24 10:56:25.211224,0,0,0
8,2023-05-24 10:56:25.224454,0,0,0
9,2023-05-24 10:56:25.238571,0,0,0
9,2023-05-24 10:56:25.253457,0,0,0
8,2023-05-24 10:56:25.267277,0,0,0
9,2023-05-24 10:56:25.281066,0,0,0
9,2023-05-24 10:56:25.295502,0,0,0
10,2023-05-24 10:56:25.310759,0,0,0
8,2023-05-24 10:56:25.323558,0,0,0
9,2023-05-24 10:56:25.336968,0,0,0
9,2023-05-24 10:56:25.350941,0,0,0
10,2023-05-24 10:56:25.366058,0,0,0
11,2023-05-24 10:56:25.381778,0,0,0
11,2023-05-24 10:56:25.398484,0,0,0
15,2023-05-24 10:56:25.418775,0,0,0
15,2023-05-24 10:56:25.439793,0,0,0
17,2023-05-24 10:56:25.462941,0,0,0
19,2023-05-24 10:56:25.488025,0,0,0
15,2023-05-24 10:56:25.508822,0,0,0
20,2023-05-24 10:56:25.535407,0,0,0
35,2023-05-24 10:56:25.576435,0,0,0
18,2023-05-24 10:56:25.602329,0,0,0
19,2023-05-24 10:56:25.627169,0,0,0
23,2023-05-24 10:56:25.656415,0,0,0
19,2023-05-24 10:56:25.681259,0,0,0
23,2023-05-24 10:56:25.710773,0,0,0
21,2023-05-24 10:56:25.738840,0,0,0
25,2023-05-24 10:56:25.769803,0,0,0
25,2023-05-24 10:56:25.801571,0,0,0
25,2023-05-24 10:56:25.833331,0,0,0
31,2023-05-24 10:56:25.871686,0,0,0
38,2023-05-24 10:56:25.916623,0,0,0
31,2023-05-24 10:56:25.954676,0,0,0
34,2023-05-24 10:56:25.995521,0,0,0
32,2023-05-24 10:56:26.033798,0,0,0
32,2023-05-24 10:56:26.072391,0,0,0
36,2023-05-24 10:56:26.115237,0,0,0
37,2023-05-24 10:56:26.159113,0,0,0
36,2023-05-24 10:56:26.201666,0,0,0
28,2023-05-24 10:56:26.236166,0,0,0
32,2023-05-24 10:56:26.274846,0,0,0
34,2023-05-24 10:56:26.315130,0,0,0
37,2023-05-24 10:56:26.359220,0,0,0
40,2023-05-24 10:56:26.405695,0,0,0
33,2023-05-24 10:56:26.446042,0,0,0
31,2023-05-24 10:56:26.483721,0,0,0
31,2023-05-24 10:56:26.520819,0,0,0
30,2023-05-24 10:56:26.557761,0,0,0
51,2023-05-24 10:56:26.627308,0,0,0
43,2023-05-24 10:56:26.677202,0,0,0
41,2023-05-24 10:56:26.725199,0,0,0
37,2023-05-24 10:56:26.769839,0,0,0
38,2023-05-24 10:56:26.814611,0,0,0
34,2023-05-24 10:56:26.855281,0,0,0
30,2023-05-24 10:56:26.892937,0,0,0
31,2023-05-24 10:56:26.930490,0,0,0
31,2023-05-24 10:56:26.967876,0,0,0
28,2023-05-24 10:56:27.002313,0,0,0
31,2023-05-24 10:56:27.040175,0,0,0
27,2023-05-24 10:56:27.074422,0,0,0
30,2023-05-24 10:56:27.111504,0,0,0
31,2023-05-24 10:56:27.148651,0,0,0
29,2023-05-24 10:56:27.184460,0,0,0
31,2023-05-24 10:56:27.223128,0,0,0
31,2023-05-24 10:56:27.260791,0,0,0
31,2023-05-24 10:56:27.298308,0,0,0
31,2023-05-24 10:56:27.336129,0,0,0
31,2023-05-24 10:56:27.373574,0,0,0
25,2023-05-24 10:56:27.405646,0,0,0
28,2023-05-24 10:56:27.440929,0,0,0
28,2023-05-24 10:56:27.476125,0,0,0
25,2023-05-24 10:56:27.507525,0,0,0
25,2023-05-24 10:56:27.539058,0,0,0
24,2023-05-24 10:56:27.579249,0,0,0
30,2023-05-24 10:56:27.615969,0,0,0
34,2023-05-24 10:56:27.656607,0,0,0
37,2023-05-24 10:56:27.700004,0,0,0
36,2023-05-24 10:56:27.743141,0,0,0
36,2023-05-24 10:56:27.786066,0,0,0
36,2023-05-24 10:56:27.828872,0,0,0
30,2023-05-24 10:56:27.865514,0,0,0
31,2023-05-24 10:56:27.903107,0,0,0
23,2023-05-24 10:56:27.932485,0,0,0
28,2023-05-24 10:56:27.967673,0,0,0
27,2023-05-24 10:56:28.002122,0,0,0
25,2023-05-24 10:56:28.033573,0,0,0
26,2023-05-24 10:56:28.065825,0,0,0
25,2023-05-24 10:56:28.097437,0,0,0
25,2023-05-24 10:56:28.129445,0,0,0
28,2023-05-24 10:56:28.174766,0,0,0
28,2023-05-24 10:56:28.209378,0,0,0
28,2023-05-24 10:56:28.243784,0,0,0
28,2023-05-24 10:56:28.278147,0,0,0
28,2023-05-24 10:56:28.312542,0,0,0
28,2023-05-24 10:56:28.346950,0,0,0
28,2023-05-24 10:56:28.381462,0,0,0
28,2023-05-24 10:56:28.416050,0,0,0
28,2023-05-24 10:56:28.450776,0,0,0
28,2023-05-24 10:56:28.485180,0,0,0
32,2023-05-24 10:56:28.524215,0,0,0
33,2023-05-24 10:56:28.565158,0,0,0
32,2023-05-24 10:56:28.603363,0,0,0
29,2023-05-24 10:56:28.638697,0,0,0
31,2023-05-24 10:56:28.676093,0,0,0
31,2023-05-24 10:56:28.714053,0,0,0
32,2023-05-24 10:56:28.764544,0,0,0
34,2023-05-24 10:56:28.805426,0,0,0
30,2023-05-24 10:56:28.841449,0,0,0
28,2023-05-24 10:56:28.876569,0,0,0
26,2023-05-24 10:56:28.909330,0,0,0
23,2023-05-24 10:56:28.939364,0,0,0
37,2023-05-24 10:56:28.983691,0,0,0
29,2023-05-24 10:56:29.019165,0,0,0
25,2023-05-24 10:56:29.051252,0,0,0
26,2023-05-24 10:56:29.084744,0,0,0
33,2023-05-24 10:56:29.125218,0,0,0
29,2023-05-24 10:56:29.160647,0,0,0
24,2023-05-24 10:56:29.191670,0,0,0
29,2023-05-24 10:56:29.226880,0,0,0
28,2023-05-24 10:56:29.261836,0,0,0
26,2023-05-24 10:56:29.294182,0,0,0
25,2023-05-24 10:56:29.325811,0,0,0
26,2023-05-24 10:56:29.359117,0,0,0
24,2023-05-24 10:56:29.389813,0,0,0
24,2023-05-24 10:56:29.420683,0,0,0
32,2023-05-24 10:56:29.457468,0,0,0
28,2023-05-24 10:56:29.491250,0,0,0
39,2023-05-24 10:56:29.537240,0,0,0
23,2023-05-24 10:56:29.584107,0,0,0
32,2023-05-24 10:56:29.622479,0,0,0
24,2023-05-24 10:56:29.654279,0,0,0
27,2023-05-24 10:56:29.687181,0,0,0
21,2023-05-24 10:56:29.715436,0,0,0
25,2023-05-24 10:56:29.746821,0,0,0
24,2023-05-24 10:56:29.777018,0,0,0
