delta,timestamp
12,2022-02-07 22:49:08.668351
10,2022-02-07 22:49:08.692351
12,2022-02-07 22:49:08.727464
13,2022-02-07 22:49:08.763224
11,2022-02-07 22:49:08.797508
11,2022-02-07 22:49:08.830513
12,2022-02-07 22:49:08.866197
10,2022-02-07 22:49:08.899194
11,2022-02-07 22:49:08.934200
10,2022-02-07 22:49:08.972144
11,2022-02-07 22:49:09.003233
11,2022-02-07 22:49:09.037400
11,2022-02-07 22:49:09.073282
10,2022-02-07 22:49:09.108281
12,2022-02-07 22:49:09.144279
11,2022-02-07 22:49:09.178279
12,2022-02-07 22:49:09.216560
12,2022-02-07 22:49:09.250406
11,2022-02-07 22:49:09.285278
12,2022-02-07 22:49:09.323290
10,2022-02-07 22:49:09.355320
13,2022-02-07 22:49:09.393380
12,2022-02-07 22:49:09.427569
13,2022-02-07 22:49:09.466196
10,2022-02-07 22:49:09.500194
10,2022-02-07 22:49:09.534196
11,2022-02-07 22:49:09.572207
10,2022-02-07 22:49:09.609524
11,2022-02-07 22:49:09.630524
11,2022-02-07 22:49:09.651545
11,2022-02-07 22:49:09.670525
10,2022-02-07 22:49:09.690524
12,2022-02-07 22:49:09.710533
12,2022-02-07 22:49:09.731531
11,2022-02-07 22:49:09.752527
12,2022-02-07 22:49:09.785531
11,2022-02-07 22:49:09.821546
11,2022-02-07 22:49:09.855335
11,2022-02-07 22:49:09.889400
12,2022-02-07 22:49:09.925679
13,2022-02-07 22:49:09.965519
12,2022-02-07 22:49:09.994520
11,2022-02-07 22:49:10.029520
12,2022-02-07 22:49:10.065522
11,2022-02-07 22:49:10.101518
10,2022-02-07 22:49:10.134519
12,2022-02-07 22:49:10.170520
11,2022-02-07 22:49:10.205520
11,2022-02-07 22:49:10.239521
23,2022-02-07 22:49:10.285531
11,2022-02-07 22:49:10.308519
11,2022-02-07 22:49:10.344518
12,2022-02-07 22:49:10.379525
12,2022-02-07 22:49:10.415526
13,2022-02-07 22:49:10.450524
10,2022-02-07 22:49:10.485521
9,2022-02-07 22:49:10.516521
10,2022-02-07 22:49:10.551521
12,2022-02-07 22:49:10.592521
14,2022-02-07 22:49:10.631523
13,2022-02-07 22:49:10.667521
12,2022-02-07 22:49:10.691526
11,2022-02-07 22:49:10.711519
11,2022-02-07 22:49:10.735522
12,2022-02-07 22:49:10.758519
14,2022-02-07 22:49:10.773519
12,2022-02-07 22:49:10.800519
14,2022-02-07 22:49:10.815520
21,2022-02-07 22:49:10.849534
13,2022-02-07 22:49:10.866521
12,2022-02-07 22:49:10.899519
10,2022-02-07 22:49:10.911519
12,2022-02-07 22:49:10.934522
11,2022-02-07 22:49:10.963520
11,2022-02-07 22:49:10.998519
12,2022-02-07 22:49:11.035523
11,2022-02-07 22:49:11.056521
12,2022-02-07 22:49:11.077520
11,2022-02-07 22:49:11.116520
10,2022-02-07 22:49:11.158520
11,2022-02-07 22:49:11.195521
11,2022-02-07 22:49:11.229582
11,2022-02-07 22:49:11.264525
10,2022-02-07 22:49:11.297520
11,2022-02-07 22:49:11.330521
13,2022-02-07 22:49:11.371527
12,2022-02-07 22:49:11.405521
14,2022-02-07 22:49:11.440522
12,2022-02-07 22:49:11.474521
13,2022-02-07 22:49:11.510523
13,2022-02-07 22:49:11.545518
10,2022-02-07 22:49:11.576520
11,2022-02-07 22:49:11.610523
13,2022-02-07 22:49:11.633534
13,2022-02-07 22:49:11.654521
14,2022-02-07 22:49:11.676528
13,2022-02-07 22:49:11.704534
12,2022-02-07 22:49:11.753519
11,2022-02-07 22:49:11.782521
11,2022-02-07 22:49:11.815522
13,2022-02-07 22:49:11.849524
12,2022-02-07 22:49:11.882521
11,2022-02-07 22:49:11.913521
10,2022-02-07 22:49:11.936521
14,2022-02-07 22:49:11.959520
11,2022-02-07 22:49:12.001521
11,2022-02-07 22:49:12.045580
10,2022-02-07 22:49:12.093522
10,2022-02-07 22:49:12.129520
11,2022-02-07 22:49:12.166520
10,2022-02-07 22:49:12.205522
10,2022-02-07 22:49:12.244521
10,2022-02-07 22:49:12.283553
11,2022-02-07 22:49:12.320790
13,2022-02-07 22:49:12.361470
12,2022-02-07 22:49:12.402470
12,2022-02-07 22:49:12.441470
11,2022-02-07 22:49:12.479470
12,2022-02-07 22:49:12.519467
13,2022-02-07 22:49:12.557466
12,2022-02-07 22:49:12.597468
12,2022-02-07 22:49:12.629467
10,2022-02-07 22:49:12.662467
12,2022-02-07 22:49:12.698472
13,2022-02-07 22:49:12.733473
12,2022-02-07 22:49:12.772468
16,2022-02-07 22:49:12.807474
12,2022-02-07 22:49:12.836481
11,2022-02-07 22:49:12.870467
12,2022-02-07 22:49:12.906468
12,2022-02-07 22:49:12.943467
11,2022-02-07 22:49:12.978469
12,2022-02-07 22:49:13.018467
11,2022-02-07 22:49:13.053467
13,2022-02-07 22:49:13.093467
10,2022-02-07 22:49:13.128467
11,2022-02-07 22:49:13.168522
11,2022-02-07 22:49:13.202479
11,2022-02-07 22:49:13.236518
10,2022-02-07 22:49:13.269507
12,2022-02-07 22:49:13.305511
12,2022-02-07 22:49:13.350513
14,2022-02-07 22:49:13.382515
12,2022-02-07 22:49:13.413509
16,2022-02-07 22:49:13.445508
19,2022-02-07 22:49:13.484531
14,2022-02-07 22:49:13.511515
14,2022-02-07 22:49:13.549507
14,2022-02-07 22:49:13.586508
14,2022-02-07 22:49:13.622507
16,2022-02-07 22:49:13.659507
14,2022-02-07 22:49:13.697523
16,2022-02-07 22:49:13.736516
13,2022-02-07 22:49:13.766507
15,2022-02-07 22:49:13.809509
16,2022-02-07 22:49:13.841517
17,2022-02-07 22:49:13.873512
18,2022-02-07 22:49:13.909507
15,2022-02-07 22:49:13.936513
14,2022-02-07 22:49:13.969509
18,2022-02-07 22:49:14.014508
16,2022-02-07 22:49:14.044508
27,2022-02-07 22:49:14.091510
17,2022-02-07 22:49:14.127512
14,2022-02-07 22:49:14.165511
25,2022-02-07 22:49:14.192506
21,2022-02-07 22:49:14.242508
19,2022-02-07 22:49:14.263511
11,2022-02-07 22:49:14.356517
16,2022-02-07 22:49:14.400511
10,2022-02-07 22:49:14.413510
14,2022-02-07 22:49:14.430510
13,2022-02-07 22:49:14.490518
18,2022-02-07 22:49:14.511513
15,2022-02-07 22:49:14.529515
15,2022-02-07 22:49:14.563515
13,2022-02-07 22:49:14.577512
14,2022-02-07 22:49:14.608528
12,2022-02-07 22:49:14.622508
11,2022-02-07 22:49:14.654506
11,2022-02-07 22:49:14.685515
17,2022-02-07 22:49:14.724508
11,2022-02-07 22:49:14.756510
12,2022-02-07 22:49:14.789523
14,2022-02-07 22:49:14.827516
12,2022-02-07 22:49:14.864507
12,2022-02-07 22:49:14.892506
13,2022-02-07 22:49:14.927508
11,2022-02-07 22:49:14.960507
12,2022-02-07 22:49:14.995511
10,2022-02-07 22:49:15.028507
10,2022-02-07 22:49:15.062511
10,2022-02-07 22:49:15.097507
14,2022-02-07 22:49:15.139510
14,2022-02-07 22:49:15.173508
16,2022-02-07 22:49:15.207510
26,2022-02-07 22:49:15.253510
12,2022-02-07 22:49:15.279521
14,2022-02-07 22:49:15.310509
13,2022-02-07 22:49:15.342507
11,2022-02-07 22:49:15.376508
11,2022-02-07 22:49:15.411506
15,2022-02-07 22:49:15.449510
14,2022-02-07 22:49:15.484509
14,2022-02-07 22:49:15.517515
11,2022-02-07 22:49:15.547508
11,2022-02-07 22:49:15.579511
11,2022-02-07 22:49:15.613519
10,2022-02-07 22:49:15.655510
11,2022-02-07 22:49:15.691825
13,2022-02-07 22:49:15.734077
13,2022-02-07 22:49:15.770065
12,2022-02-07 22:49:15.795059
13,2022-02-07 22:49:15.818058
12,2022-02-07 22:49:15.831055
14,2022-02-07 22:49:15.857067
13,2022-02-07 22:49:15.871057
11,2022-02-07 22:49:15.896055
14,2022-02-07 22:49:15.927064
12,2022-02-07 22:49:15.962063
12,2022-02-07 22:49:16.000062
11,2022-02-07 22:49:16.035055
11,2022-02-07 22:49:16.079110
11,2022-02-07 22:49:16.107058
11,2022-02-07 22:49:16.127065
11,2022-02-07 22:49:16.149062
10,2022-02-07 22:49:16.169053
10,2022-02-07 22:49:16.206055
12,2022-02-07 22:49:16.243062
11,2022-02-07 22:49:16.275057
