rtt,timestamp
0.0054,2022-01-27 17:25:28.158009+00:00
0.006,2022-01-27 17:25:29.566898+00:00
0.0085,2022-01-27 17:25:30.382206+00:00
0.0074,2022-01-27 17:25:32.014327+00:00
0.0074,2022-01-27 17:25:32.014327+00:00
0.0059,2022-01-27 17:25:34.136711+00:00
0.0048,2022-01-27 17:25:35.406059+00:00
0.0048,2022-01-27 17:25:36.077904+00:00
0.0064,2022-01-27 17:25:37.214030+00:00
0.0053,2022-01-27 17:25:38.152012+00:00
0.0052,2022-01-27 17:25:39.215277+00:00
0.0032,2022-01-27 17:25:39.966159+00:00
0.002,2022-01-27 17:25:41.095371+00:00
0.0033,2022-01-27 17:25:41.917957+00:00
0.003,2022-01-27 17:25:43.183415+00:00
0.0032,2022-01-27 17:25:44.559222+00:00
0.0032,2022-01-27 17:25:44.559222+00:00
0.0031,2022-01-27 17:25:45.996305+00:00
0.0046,2022-01-27 17:25:47.053254+00:00
0.0027,2022-01-27 17:25:47.886231+00:00
0.0042,2022-01-27 17:25:49.021839+00:00
0.004,2022-01-27 17:25:50.200199+00:00
0.0036,2022-01-27 17:25:51.199331+00:00
0.0026,2022-01-27 17:25:52.667233+00:00
0.0026,2022-01-27 17:25:52.667233+00:00
0.0032,2022-01-27 17:25:54.112897+00:00
0.004,2022-01-27 17:25:54.893252+00:00
0.0028,2022-01-27 17:25:56.042610+00:00
0.0026,2022-01-27 17:25:57.392048+00:00
0.0022,2022-01-27 17:25:58.686320+00:00
0.0022,2022-01-27 17:25:58.686320+00:00
0.0041,2022-01-27 17:26:00.700741+00:00
0.0041,2022-01-27 17:26:00.700741+00:00
0.005,2022-01-27 17:26:02.762647+00:00
0.0044,2022-01-27 17:26:03.511405+00:00
0.0066,2022-01-27 17:26:04.513221+00:00
0.0061,2022-01-27 17:26:05.200325+00:00
0.0048,2022-01-27 17:26:06.252508+00:00
0.005,2022-01-27 17:26:07.695440+00:00
0.0041,2022-01-27 17:26:08.718065+00:00
0.0048,2022-01-27 17:26:09.471474+00:00
0.0038,2022-01-27 17:26:10.651391+00:00
0.003,2022-01-27 17:26:12.138315+00:00
0.003,2022-01-27 17:26:12.138315+00:00
0.0029,2022-01-27 17:26:13.405733+00:00
0.0029,2022-01-27 17:26:14.762376+00:00
0.0028,2022-01-27 17:26:15.651708+00:00
0.0033,2022-01-27 17:26:16.810228+00:00
0.0036,2022-01-27 17:26:18.302334+00:00
0.0036,2022-01-27 17:26:18.302334+00:00
0.0019,2022-01-27 17:26:19.683654+00:00
0.0008,2022-01-27 17:26:20.964322+00:00
0.003,2022-01-27 17:26:21.731231+00:00
0.0023,2022-01-27 17:26:23.307342+00:00
0.003,2022-01-27 17:26:24.287397+00:00
0.0012,2022-01-27 17:26:25.042227+00:00
0.0004,2022-01-27 17:26:26.135750+00:00
0.0006,2022-01-27 17:26:27.246682+00:00
0.0008,2022-01-27 17:26:27.933966+00:00
0.0026,2022-01-27 17:26:29.534677+00:00
